status,algorithm,family,space_name,params_json,n_clusters,n_noise,noise_fraction,n_clustered,min_cluster_size,max_cluster_size,median_cluster_size,cluster_size_entropy,imbalance_ratio,silhouette,calinski_harabasz,davies_bouldin,experiment_id,pass_k,pass_min_cluster,pass_noise,pass_silhouette,pass_max_cluster_fraction,pass_all_filters,k_penalty,sil_norm,db_norm,ch_norm,noise_norm,S_struct,hrv_var_reduction,hrv_iqr_compactness,S_hrv_intra_raw,S_hrv_rel_raw,E_ext_raw,D_dom_raw,S_desc_raw,hrv_intra_norm,hrv_rel_norm,desc_norm,struct_norm,S_primary,is_topk
ok,optics,density-based,umap_hrv_log_nn30_md00,"{""min_cluster_size"": 0.05, ""min_samples"": 20, ""xi"": 0.05}",8,221,0.4169811320754717,309,27.0,64.0,33.0,2.931699397157766,2.3703703703703702,0.7539946436882019,8215.08657848909,0.323285155296789,11855,True,True,True,True,True,True,0,0.9015040831296414,0.9848952263963849,0.8508195811198813,0.16603773584905657,0.7820017790867131,0.38736190007312593,0.3918841080244932,0.3891707832536728,0.7252273077515795,0.05214324926707744,0.6333895314078303,-0.15351658493539488,0.8705021139110196,0.3868845098787248,0.2038247717408718,0.9999999999999998,0.6728175961927761,True
ok,optics,density-based,umap_hrv_log_nn30_md00,"{""min_cluster_size"": 0.05, ""min_samples"": 5, ""xi"": 0.1}",8,216,0.4075471698113208,314,26.0,55.0,37.5,2.950280175224776,2.1153846153846154,0.7319109439849854,7460.501413321796,0.3745072819931831,11822,True,True,True,True,True,True,0,0.8750599715183741,0.9737626783587934,0.7724452707723298,0.18490566037735845,0.7507563942510193,0.3871351420957126,0.3329855951153587,0.365475323303571,0.7013952077646345,0.05163892180745838,0.6468742951800264,-0.15791504328878703,0.8242155029338407,0.33370662839221765,0.19676836344124754,0.9598415277706842,0.6345308063362083,True
ok,optics,density-based,umap_hrv_log_nn30_md01,"{""min_cluster_size"": 0.05, ""min_samples"": 5, ""xi"": 0.05}",8,256,0.4830188679245283,274,26.0,47.0,32.5,2.967376017566269,1.807692307692308,0.7461622357368469,5042.002519149521,0.3527224114247912,12455,True,True,True,True,True,True,0,0.8921251714058761,0.9784973727913931,0.521250055630452,0.03396226415094339,0.6878036489446347,0.39489268475358014,0.39724129523514407,0.3958321289462057,0.6824817518248175,0.06080711026653793,0.5877293022464275,-0.1337538134873517,0.8835143583369165,0.2915039891359701,0.2355300132744197,0.8789308240798911,0.6343695319199715,False
ok,optics,density-based,umap_hrv_log_nn30_md00,"{""min_cluster_size"": 0.03, ""min_samples"": 20, ""xi"": 0.05}",10,214,0.4037735849056604,316,17.0,64.0,28.5,3.199689475737067,3.764705882352941,0.7364967465400696,7628.521776210315,0.3049150710557978,11854,True,True,True,True,True,True,1,0.8805512377565315,0.9888877557671312,0.789896554833571,0.1924528301886792,0.6619560401627521,0.47933973923962003,0.18439177991308897,0.3613605555090076,0.7341772151898734,0.05993808811767876,0.5405157597986969,-0.12019806625723395,0.8161777329741331,0.40685493285150187,0.2572773800963521,0.8457099024967564,0.6299161447547064,False
ok,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 6}",6,0,0.0,530,10.0,172.0,84.5,1.9917124498676595,17.2,0.2778030223018009,152.63491081633654,1.1673009307017497,4,True,True,True,True,True,True,0,0.3312887408852353,0.801457974369084,0.013420281036601624,1.0,0.35974352187970793,0.5853174305646345,0.10955911099745376,0.39501410273776216,0.9194070080862532,0.03039475334035382,0.5780444688175503,-0.15213701330701743,0.8819164294104853,0.8201684041700075,0.2060380064486419,0.4572879615719989,0.6282340228103994,True
ok,optics,density-based,umap_hrv_log_nn30_md01,"{""min_cluster_size"": 0.05, ""min_samples"": 10, ""xi"": 0.05}",7,261,0.4924528301886792,269,26.0,53.0,36.0,2.769155670523625,2.0384615384615383,0.7139928340911865,5792.990957688212,0.3883461492182478,12467,True,True,True,True,True,True,0,0.853603942670746,0.9707549575922965,0.5992507951976093,0.015094339622641617,0.6905552829929844,0.3953670254774556,0.381101607199283,0.38966085816618656,0.6707381837493361,0.053344949887917215,0.6587495521375103,-0.16028340071971103,0.8714594241667803,0.26529991682640564,0.19296882831113532,0.8824673918033155,0.6172813954367102,False
ok,optics,density-based,umap_hrv_log_nn30_md00,"{""min_cluster_size"": 0.05, ""min_samples"": 20, ""xi"": 0.1}",6,263,0.4962264150943396,267,26.0,73.0,38.0,2.462861893578673,2.8076923076923075,0.7958088517189026,6434.282566671472,0.2537863644869801,11858,True,True,True,True,True,True,0,0.9515744788948737,1.0,0.6658579721020103,0.007547169811320753,0.7498929191292744,0.36809834811637515,0.09361007204404063,0.25830303768744134,0.8277153558052435,0.05196578309260205,0.6486659225972623,-0.15822372861435727,0.6148656147149543,0.6155717542326302,0.19627314227093767,0.9587317369366253,0.6172548786851038,False
ok,optics,density-based,tsne_hrv_log_perp30,"{""min_cluster_size"": 0.03, ""min_samples"": 15, ""xi"": 0.05}",10,258,0.4867924528301887,272,15.0,67.0,23.5,3.1433920842026635,4.466666666666667,0.6275113821029663,1177.6413261688683,0.4616654969835546,20746,True,True,True,True,True,True,1,0.7500467851557011,0.9548198292849507,0.11988165161928487,0.026415094339622636,0.4302534912117829,0.44418241440438205,0.454372100746531,0.44825828894124164,0.7170868347338936,0.051160238886213405,0.4559362444990448,-0.10096870612936404,0.9859233969387247,0.3687202226520119,0.2881268745102572,0.5479116700077268,0.6134205258629392,False
ok,optics,density-based,umap_hrv_log_nn30_md00,"{""min_cluster_size"": 0.05, ""min_samples"": 5, ""xi"": 0.01}",10,183,0.3452830188679245,347,26.0,47.0,31.0,3.2895370153224848,1.807692307692308,0.6792247891426086,9651.3905219776,0.4804072047514417,11813,True,True,True,True,True,True,1,0.8119709702303611,0.9507465317573182,1.0,0.309433962264151,0.6848854972210294,0.3987615124620842,0.35762093260418226,0.38230528051892343,0.6673528200905723,0.06215750440321813,0.6539901113920099,-0.15268678033535027,0.8570910699846603,0.2577459678444405,0.205156020009326,0.8751802376950673,0.6113573314891512,False
ok,optics,density-based,umap_hrv_log_nn15_md03,"{""min_cluster_size"": 0.05, ""min_samples"": 20, ""xi"": 0.05}",6,249,0.469811320754717,281,27.0,76.0,46.5,2.497671339319985,2.814814814814815,0.658452033996582,2728.2576785008628,0.4310843954811918,11219,True,True,True,True,True,True,0,0.7870966483125059,0.9614662847032394,0.2809350261588077,0.060377358490566024,0.5871763367845791,0.40944101338050276,0.11021848191349615,0.2897520007937001,0.8256227758007118,0.0497304327192831,0.5560163237604444,-0.13199359422463514,0.6762978858757764,0.6109024648480195,0.23835391765560196,0.7495984717296039,0.593955154489647,False
ok,optics,density-based,tsne_hrv_log_perp10,"{""min_cluster_size"": 0.03, ""min_samples"": 10, ""xi"": 0.1}",10,246,0.4641509433962264,284,15.0,54.0,24.0,3.203417451756228,3.6,0.6439627408981323,1026.2784841645598,0.4651981213200117,19465,True,True,True,True,True,True,1,0.7697464538698618,0.9540520534688962,0.1041604860014808,0.07169811320754715,0.43525190205586806,0.5000533125204462,0.3885813080184272,0.45546451071963856,0.6492287055667336,0.057040297569090646,0.43898371881456677,-0.09176690734600658,1.0,0.21730462970283582,0.30288923988681693,0.5543359321548711,0.5926227569566483,False
ok,optics,density-based,umap_hrv_log_nn15_md00,"{""min_cluster_size"": 0.05, ""min_samples"": 20, ""xi"": 0.05}",8,216,0.4075471698113208,314,26.0,56.0,37.5,2.9467863202390774,2.1538461538461537,0.7369816899299622,7037.236716248003,0.3470072423594961,9947,True,True,True,True,True,True,0,0.8811319328981884,0.9797394999396756,0.728483263223097,0.18490566037735845,0.7436841253209108,0.41062406344237,0.05899827573566901,0.2699737483596896,0.7682741886563542,0.048533413227416305,0.7038650167637412,-0.17718611576993096,0.6376631314481649,0.48293739369390987,0.16585195026349586,0.9507518168606888,0.5906279190135111,False
ok,optics,density-based,umap_integrated_nn15_md00,"{""min_cluster_size"": 0.05, ""min_samples"": 15, ""xi"": 0.03}",8,236,0.4452830188679245,294,26.0,57.0,35.0,2.952547212950185,2.1923076923076925,0.6525794863700867,1359.6435006349593,0.4583180120601275,15656,True,True,True,True,True,True,0,0.7800645700391853,0.9555473671502965,0.13878514398037864,0.10943396226415103,0.549854793767106,0.2681956295177466,-0.1515851897409241,0.1002833018142783,0.8454810495626822,0.4468709893419407,0.13932613745002786,0.2710118513043501,0.30619053280137243,0.6552133283144854,0.8848920321818784,0.7016305508125203,0.5905953962828832,False
ok,optics,density-based,umap_hrv_log_nn30_md03,"{""min_cluster_size"": 0.05, ""min_samples"": 10, ""xi"": 0.05}",8,226,0.4264150943396226,304,27.0,53.0,37.0,2.9546517412686084,1.962962962962963,0.5811522006988525,2911.2215617042098,0.5965381477578452,13103,True,True,True,True,True,True,0,0.6945340140289135,0.9255067889927796,0.299938405534008,0.1471698113207548,0.5530820335574933,0.3948243304168317,0.3707894881615106,0.3852103935147032,0.7028508771929826,0.05504262756193786,0.6021605642530224,-0.14211832998255025,0.8627659053904118,0.3369547440172205,0.22211089255601082,0.7057783960120955,0.5902257932043142,False
ok,optics,density-based,umap_hrv_log_nn10_md01,"{""min_cluster_size"": 0.1, ""min_samples"": 5, ""xi"": 0.01}",5,233,0.439622641509434,297,53.0,79.0,55.0,2.303446904660193,1.490566037735849,0.6248713731765747,2039.2594512199844,0.5857689586808437,8634,True,True,True,True,True,True,0,0.7468855082119619,0.9278473500443781,0.20937284419906507,0.12075471698113205,0.5481450797863229,0.35233157299926343,0.18536481050570788,0.2855448680018412,0.9116562449895783,0.04629250450954961,0.8347991223158446,-0.21803498353806866,0.6680796905220596,0.8028736982225353,0.10031846866828142,0.6994331222393597,0.5893246056207241,False
ok,optics,density-based,umap_hrv_log_nn30_md00,"{""min_cluster_size"": 0.05, ""min_samples"": 5, ""xi"": 0.03}",10,134,0.2528301886792453,396,26.0,71.0,34.5,3.2441729451955186,2.730769230769231,0.6223905682563782,7196.875795072153,0.5389475261068147,11816,True,True,True,True,True,True,1,0.7439148700001996,0.9380234571476376,0.7450640327437743,0.49433962264150944,0.6027602309623802,0.4004241183093355,0.3080390331472134,0.3634700842444867,0.7115199615199613,0.056017101199067366,0.6830756338970435,-0.1657107193297659,0.8202984774597821,0.356298550865511,0.18426182849262823,0.7696278419823555,0.5876235034781405,False
ok,optics,density-based,umap_hrv_log_nn30_md01,"{""min_cluster_size"": 0.03, ""min_samples"": 20, ""xi"": 0.05}",9,228,0.430188679245283,302,15.0,60.0,32.0,3.065160115636613,4.0,0.7206186652183533,4232.595492969457,0.3613369823788236,12490,True,True,True,True,True,True,1,0.8615380397739903,0.9766250935411105,0.43718172193446575,0.13962264150943404,0.560802404542318,0.48304867987735783,0.23032610697969533,0.38195965071829285,0.6975717439293598,0.05512941886103479,0.6076287162951951,-0.14369802168583418,0.8564159181978794,0.3251751222802275,0.2195766069608537,0.7157010871687082,0.587621189009651,False
ok,kmeans,centroid-based,hrv_raw_scaled,"{""n_clusters"": 5}",5,0,0.0,530,15.0,172.0,157.0,1.8895361080968467,11.466666666666669,0.2578019915619012,153.49347503559397,1.274984177296138,3,True,True,True,True,True,True,0,0.3073385198473511,0.7780542425665886,0.01350945503799942,1.0,0.3443621184760493,0.5322672338745428,0.1019378454197059,0.360135478492608,0.9073674752920036,0.028262632215456777,0.6670846932986887,-0.18034156543878685,0.8137846727256897,0.7933039294306337,0.16078968993421716,0.43751884479901265,0.5850230705267147,True
