cluster,n,fraction
0,34,0.11003236245954692
1,48,0.1553398058252427
2,28,0.09061488673139159
3,47,0.15210355987055016
4,64,0.20711974110032363
5,32,0.10355987055016182
6,29,0.09385113268608414
7,27,0.08737864077669903
