variable,cluster,sex,n,cluster_total,fraction,age_group,bmi_cat,bp_cat
sex,0,1.0,29,34,0.8529411764705882,,,
sex,0,2.0,5,34,0.14705882352941177,,,
sex,1,1.0,41,48,0.8541666666666666,,,
sex,1,2.0,7,48,0.14583333333333334,,,
sex,2,1.0,22,28,0.7857142857142857,,,
sex,2,2.0,6,28,0.21428571428571427,,,
sex,3,1.0,36,47,0.7659574468085106,,,
sex,3,2.0,11,47,0.23404255319148937,,,
sex,4,1.0,41,64,0.640625,,,
sex,4,2.0,23,64,0.359375,,,
sex,5,1.0,22,32,0.6875,,,
sex,5,2.0,10,32,0.3125,,,
sex,6,1.0,5,29,0.1724137931034483,,,
sex,6,2.0,24,29,0.8275862068965517,,,
sex,7,1.0,12,27,0.4444444444444444,,,
sex,7,2.0,15,27,0.5555555555555556,,,
age_group,0,,13,34,0.38235294117647056,60-69,,
age_group,0,,18,34,0.5294117647058824,70-79,,
age_group,0,,2,34,0.058823529411764705,80+,,
age_group,0,,1,34,0.029411764705882353,<60,,
age_group,1,,23,48,0.4791666666666667,60-69,,
age_group,1,,21,48,0.4375,70-79,,
age_group,1,,3,48,0.0625,80+,,
age_group,1,,1,48,0.020833333333333332,<60,,
age_group,2,,15,28,0.5357142857142857,60-69,,
age_group,2,,12,28,0.42857142857142855,70-79,,
age_group,2,,1,28,0.03571428571428571,80+,,
age_group,3,,18,47,0.3829787234042553,60-69,,
age_group,3,,24,47,0.5106382978723404,70-79,,
age_group,3,,4,47,0.0851063829787234,80+,,
age_group,3,,1,47,0.02127659574468085,<60,,
age_group,4,,23,64,0.359375,60-69,,
age_group,4,,36,64,0.5625,70-79,,
age_group,4,,5,64,0.078125,80+,,
age_group,5,,19,32,0.59375,60-69,,
age_group,5,,12,32,0.375,70-79,,
age_group,5,,1,32,0.03125,80+,,
age_group,6,,17,29,0.5862068965517241,60-69,,
age_group,6,,12,29,0.41379310344827586,70-79,,
age_group,7,,5,27,0.18518518518518517,60-69,,
age_group,7,,16,27,0.5925925925925926,70-79,,
age_group,7,,6,27,0.2222222222222222,80+,,
bmi_cat,0,,3,34,0.08823529411764706,,low,
bmi_cat,0,,10,34,0.29411764705882354,,normal,
bmi_cat,0,,12,34,0.35294117647058826,,obesity,
bmi_cat,0,,9,34,0.2647058823529412,,overweight,
bmi_cat,1,,2,48,0.041666666666666664,,low,
bmi_cat,1,,19,48,0.3958333333333333,,normal,
bmi_cat,1,,17,48,0.3541666666666667,,obesity,
bmi_cat,1,,10,48,0.20833333333333334,,overweight,
bmi_cat,2,,11,28,0.39285714285714285,,normal,
bmi_cat,2,,12,28,0.42857142857142855,,obesity,
bmi_cat,2,,5,28,0.17857142857142858,,overweight,
bmi_cat,3,,19,47,0.40425531914893614,,normal,
bmi_cat,3,,16,47,0.3404255319148936,,obesity,
bmi_cat,3,,12,47,0.2553191489361702,,overweight,
bmi_cat,4,,3,64,0.046875,,low,
bmi_cat,4,,15,64,0.234375,,normal,
bmi_cat,4,,27,64,0.421875,,obesity,
bmi_cat,4,,19,64,0.296875,,overweight,
bmi_cat,5,,2,32,0.0625,,low,
bmi_cat,5,,6,32,0.1875,,normal,
bmi_cat,5,,16,32,0.5,,obesity,
bmi_cat,5,,8,32,0.25,,overweight,
bmi_cat,6,,3,29,0.10344827586206896,,low,
bmi_cat,6,,6,29,0.20689655172413793,,normal,
bmi_cat,6,,9,29,0.3103448275862069,,obesity,
bmi_cat,6,,11,29,0.3793103448275862,,overweight,
bmi_cat,7,,2,27,0.07407407407407407,,low,
bmi_cat,7,,5,27,0.18518518518518517,,normal,
bmi_cat,7,,8,27,0.2962962962962963,,obesity,
bmi_cat,7,,12,27,0.4444444444444444,,overweight,
bp_cat,0,,14,34,0.4117647058823529,,,high
bp_cat,0,,20,34,0.5882352941176471,,,normal
bp_cat,1,,17,48,0.3541666666666667,,,high
bp_cat,1,,31,48,0.6458333333333334,,,normal
bp_cat,2,,7,28,0.25,,,high
bp_cat,2,,21,28,0.75,,,normal
bp_cat,3,,11,47,0.23404255319148937,,,high
bp_cat,3,,36,47,0.7659574468085106,,,normal
bp_cat,4,,22,64,0.34375,,,high
bp_cat,4,,42,64,0.65625,,,normal
bp_cat,5,,10,32,0.3125,,,high
bp_cat,5,,22,32,0.6875,,,normal
bp_cat,6,,7,29,0.2413793103448276,,,high
bp_cat,6,,22,29,0.7586206896551724,,,normal
bp_cat,7,,8,27,0.2962962962962963,,,high
bp_cat,7,,19,27,0.7037037037037037,,,normal
