cluster,t2m_pre_mean_rr,t2m_pre_mean_hr,t2m_pre_sdnn,t2m_pre_rmssd,t2m_pre_hf,t2m_pre_lf,t2m_pre_vlf,age,weight_kg,height_m_final,imc_final,bp_systolic,bp_diastolic,bp_pam,bp_pp
0,868.5,67.0,278.0,21.5,357.0,514.0,102.5,71.0,70.0,1.525,30.163014225297964,128.5,79.0,95.16666666666666,55.5
1,881.5,67.0,210.5,24.6,225.5,167.5,34.5,69.5,68.0,1.55,29.173206500198177,133.0,76.0,93.5,55.5
2,824.0,73.0,209.0,13.7,71.5,270.5,86.0,69.0,77.7,1.565,29.867827023259647,131.0,81.5,97.5,47.0
3,828.0,72.0,154.0,18.0,165.0,74.0,14.0,71.0,74.0,1.58,28.97264766019829,129.0,73.0,91.0,54.0
4,763.0,79.0,89.0,6.800000000000001,16.0,38.5,10.0,71.0,75.0,1.57,30.582199546485263,128.5,78.0,94.83333333333331,49.0
5,726.5,81.5,88.0,6.8,174.0,762.5,220.0,69.0,76.8,1.5,31.829382028546714,125.5,73.5,91.66666666666666,51.0
6,955.0,63.0,18.1,16.9,479.0,125.0,24.0,68.0,73.3,1.55,28.880487292585595,125.0,77.0,95.0,47.0
7,716.0,84.0,8.7,6.0,16.0,40.0,10.0,72.0,72.9,1.58,30.58802045288532,128.0,76.0,92.66666666666669,52.0
