variable,type,test,statistic,p_value,effect_size,p_adj_fdr
sex,categorical,chi2,55.4005783804712,1.2418107983122357e-09,0.39632385863227043,4.967243193248943e-09
age_group,categorical,chi2,29.259916763888093,0.10789989521935871,0.0944655630238121,0.21579979043871741
bmi_cat,categorical,chi2,24.2546912074842,0.2808823631265937,0.05891734565285313,0.3745098175021249
bp_cat,categorical,chi2,4.820231486578562,0.6818904246745293,0.0,0.6818904246745293
