cluster,variable,n,mean,std,median,q1,q3,min,max,iqr
0,t2m_pre_mean_rr,34,842.8176470588235,224.66727650837325,868.5,760.0,974.5,85.8,1111.0,214.5
1,t2m_pre_mean_rr,48,851.1208333333334,248.90188356427512,881.5,840.5,957.25,86.8,1296.0,116.75
2,t2m_pre_mean_rr,28,819.2857142857143,135.52882900720235,824.0,755.0,883.75,468.0,1140.0,128.75
3,t2m_pre_mean_rr,47,855.2553191489362,154.9137864139005,828.0,796.5,959.5,100.0,1203.0,163.0
4,t2m_pre_mean_rr,64,761.609375,138.48094444437598,763.0,709.0,835.25,68.0,1139.0,126.25
5,t2m_pre_mean_rr,32,745.53125,154.64110048650528,726.5,696.25,830.25,106.0,992.0,134.0
6,t2m_pre_mean_rr,29,930.0,114.89467226240612,955.0,856.0,1006.0,672.0,1187.0,150.0
7,t2m_pre_mean_rr,27,743.2962962962963,122.01318176417055,716.0,645.0,817.5,577.0,992.0,172.5
0,t2m_pre_mean_hr,34,68.38235294117646,9.692279670180335,67.0,60.25,76.75,54.0,87.0,16.5
1,t2m_pre_mean_hr,48,65.66666666666667,6.399246409533632,67.0,61.0,69.25,46.0,78.0,8.25
2,t2m_pre_mean_hr,28,72.17857142857143,18.206741875894487,73.0,66.75,79.0,10.0,128.0,12.25
3,t2m_pre_mean_hr,47,69.61702127659575,8.197436480227433,72.0,62.0,75.0,50.0,89.0,13.0
4,t2m_pre_mean_hr,64,79.265625,10.93159421054985,79.0,71.75,85.0,53.0,112.0,13.25
5,t2m_pre_mean_hr,32,78.9375,10.86853255964208,81.5,71.0,86.0,57.0,101.0,15.0
6,t2m_pre_mean_hr,28,66.42857142857143,10.350983390135314,63.0,60.0,70.25,51.0,98.0,10.25
7,t2m_pre_mean_hr,27,82.70370370370371,12.757546227820843,84.0,73.5,93.0,60.0,104.0,19.5
0,t2m_pre_sdnn,33,306.969696969697,110.65472336520617,278.0,244.0,334.0,143.0,626.0,90.0
1,t2m_pre_sdnn,46,217.93478260869566,25.024789641840293,210.5,203.25,239.25,177.0,292.0,36.0
2,t2m_pre_sdnn,27,220.1851851851852,38.58859639945164,209.0,190.0,231.5,176.0,314.0,41.5
