variable,type,test,statistic,p_value,effect_size,p_adj_fdr
t2m_pre_mean_rr,continuous,kruskal,71.86363556776726,6.202077936702005e-13,0.21549380587298092,1.3290167007218581e-12
t2m_pre_mean_hr,continuous,kruskal,85.87612407077583,8.673360144848663e-16,0.2629204135692528,2.1683400362121657e-15
t2m_pre_sdnn,continuous,kruskal,264.65102648504273,2.1014190131124613e-53,0.873393310118789,3.152128519668692e-52
t2m_pre_rmssd,continuous,kruskal,250.82905898445156,1.8455645960488696e-50,0.8182183187397704,1.3841734470366521e-49
t2m_pre_hf,continuous,kruskal,229.94326632950126,5.102912012657941e-46,0.74067530342027,1.913592004746728e-45
t2m_pre_lf,continuous,kruskal,233.78010128493298,7.806771100945991e-47,0.753422263405093,3.9033855504729955e-46
t2m_pre_vlf,continuous,kruskal,219.87872190853375,7.000780972539076e-44,0.7072382787658928,2.100234291761723e-43
age,continuous,kruskal,13.117596012616133,0.06929449781919121,0.02032423924457187,0.11549082969865203
weight_kg,continuous,kruskal,7.6555073808788,0.3639483311589823,0.0021777653849794007,0.45493541394872783
height_m_final,continuous,kruskal,5.711439577529093,0.573817697067817,0.0,0.5880153911868509
imc_final,continuous,kruskal,5.592799366758876,0.5880153911868509,0.0,0.5880153911868509
bp_systolic,continuous,kruskal,6.5885146316896925,0.472941567075172,0.0,0.54570180816366
bp_diastolic,continuous,kruskal,15.0963071584514,0.03478451398039355,0.02689803042674884,0.0652209637132379
bp_pam,continuous,kruskal,9.215255592271886,0.23756888468764636,0.007359653130471381,0.3239575700286087
bp_pp,continuous,kruskal,12.795013248475879,0.0772631796647811,0.01925253570922219,0.11589476949717166
