variable,cluster,sex,n,cluster_total,fraction,age_group,bmi_cat,bp_cat
sex,0,1.0,57,131,0.4351145038167939,,,
sex,0,2.0,74,131,0.5648854961832062,,,
sex,1,1.0,63,71,0.8873239436619719,,,
sex,1,2.0,8,71,0.11267605633802817,,,
sex,2,1.0,99,138,0.717391304347826,,,
sex,2,2.0,39,138,0.2826086956521739,,,
sex,3,1.0,98,124,0.7903225806451613,,,
sex,3,2.0,26,124,0.20967741935483872,,,
sex,4,1.0,49,66,0.7424242424242424,,,
sex,4,2.0,17,66,0.25757575757575757,,,
age_group,0,,45,131,0.3435114503816794,60-69,,
age_group,0,,68,131,0.5190839694656488,70-79,,
age_group,0,,13,131,0.09923664122137404,80+,,
age_group,0,,5,131,0.03816793893129771,<60,,
age_group,1,,44,71,0.6197183098591549,60-69,,
age_group,1,,25,71,0.352112676056338,70-79,,
age_group,1,,2,71,0.028169014084507043,<60,,
age_group,2,,53,138,0.38405797101449274,60-69,,
age_group,2,,79,138,0.572463768115942,70-79,,
age_group,2,,6,138,0.043478260869565216,80+,,
age_group,3,,47,124,0.3790322580645161,60-69,,
age_group,3,,57,124,0.4596774193548387,70-79,,
age_group,3,,18,124,0.14516129032258066,80+,,
age_group,3,,2,124,0.016129032258064516,<60,,
age_group,4,,30,66,0.45454545454545453,60-69,,
age_group,4,,32,66,0.48484848484848486,70-79,,
age_group,4,,3,66,0.045454545454545456,80+,,
age_group,4,,1,66,0.015151515151515152,<60,,
bmi_cat,0,,9,131,0.06870229007633588,,low,
bmi_cat,0,,35,131,0.26717557251908397,,normal,
bmi_cat,0,,38,131,0.2900763358778626,,obesity,
bmi_cat,0,,49,131,0.37404580152671757,,overweight,
bmi_cat,1,,1,71,0.014084507042253521,,normal,
bmi_cat,1,,60,71,0.8450704225352113,,obesity,
bmi_cat,1,,10,71,0.14084507042253522,,overweight,
bmi_cat,2,,2,138,0.014492753623188406,,low,
bmi_cat,2,,37,138,0.26811594202898553,,normal,
bmi_cat,2,,49,138,0.35507246376811596,,obesity,
bmi_cat,2,,50,138,0.36231884057971014,,overweight,
bmi_cat,3,,10,124,0.08064516129032258,,low,
bmi_cat,3,,70,124,0.5645161290322581,,normal,
bmi_cat,3,,14,124,0.11290322580645161,,obesity,
bmi_cat,3,,30,124,0.24193548387096775,,overweight,
bmi_cat,4,,2,66,0.030303030303030304,,low,
bmi_cat,4,,18,66,0.2727272727272727,,normal,
bmi_cat,4,,23,66,0.3484848484848485,,obesity,
bmi_cat,4,,23,66,0.3484848484848485,,overweight,
bp_cat,0,,33,131,0.25190839694656486,,,high
bp_cat,0,,98,131,0.7480916030534351,,,normal
bp_cat,1,,1,71,0.014084507042253521,,,high
bp_cat,1,,70,71,0.9859154929577465,,,normal
bp_cat,2,,97,138,0.7028985507246377,,,high
bp_cat,2,,41,138,0.2971014492753623,,,normal
bp_cat,3,,7,124,0.056451612903225805,,,high
bp_cat,3,,117,124,0.9435483870967742,,,normal
bp_cat,4,,23,66,0.3484848484848485,,,high
bp_cat,4,,43,66,0.6515151515151515,,,normal
