variable,cluster_1,cluster_2,test,statistic,p_value,effect_size,n_total,p_adj_fdr
sex,0,1,chi2,37.192292571915075,1.0703599118889077e-09,0.42431222178755396,202,1.0703599118889077e-08
sex,0,2,chi2,20.837683840645106,4.9989641987285e-06,0.27204469458156477,269,1.6663213995761666e-05
sex,0,3,chi2,32.24472199660817,1.3592581605418325e-08,0.3507094566023249,255,6.796290802709162e-08
sex,0,4,chi2,15.462317259892151,8.416662732598702e-05,0.2715938553342828,197,0.00021041656831496754
sex,1,2,chi2,6.822185508045283,0.009003232439175552,0.1672387785295797,209,0.018006464878351103
sex,1,3,chi2,2.3156219046396185,0.12808006569965968,0.08218981318424093,195,0.1829715224280853
sex,1,4,chi2,3.8916304074446684,0.04852729263967079,0.14563333831989156,137,0.08087882106611799
sex,2,3,chi2,1.4918572981020928,0.2219285130380293,0.04324185945075388,262,0.2774106412975366
sex,2,4,chi2,0.04290407007798315,0.8359060087576514,0.0,204,0.8359060087576514
sex,3,4,chi2,0.3239776780929926,0.5692269547241383,0.0,190,0.6324743941379315
age_group,0,1,chi2,17.939642996841886,0.00045263837203872296,0.27249617321162634,202,0.0021855517045723037
age_group,0,2,chi2,8.878994213601267,0.030943747056076533,0.14796986736686818,269,0.061887494112153066
age_group,0,3,chi2,2.913682920934609,0.4051259266236362,0.0,255,0.4051259266236362
age_group,0,4,chi2,3.8489925013493718,0.2782386803296654,0.06521972598986299,197,0.34779835041208174
age_group,1,2,chi2,17.15837224585315,0.000655665511371691,0.26077064136152206,209,0.0021855517045723037
age_group,1,3,chi2,17.472299374532007,0.0005650151062360852,0.2729867221360414,195,0.0021855517045723037
age_group,1,4,chi2,6.668031060914677,0.08326618331051522,0.1637378053439673,137,0.13877697218419205
age_group,2,3,chi2,11.202719178835633,0.010678712600220975,0.17715660942844422,262,0.026696781500552436
age_group,2,4,chi2,3.2699609462312456,0.35184545207574336,0.035455433321464065,204,0.3909393911952704
age_group,3,4,chi2,4.541254012900524,0.208639909364794,0.0898388828530832,190,0.29805701337827717
bmi_cat,0,1,chi2,59.23376147273783,8.569026268247474e-13,0.5288691947438586,202,4.284513134123737e-12
bmi_cat,0,2,chi2,5.73273246318856,0.12536264641789113,0.10077269244896035,269,0.1567033080223639
bmi_cat,0,3,chi2,27.194177057067236,5.3605273729582e-06,0.308557354810082,255,8.934212288263667e-06
bmi_cat,0,4,chi2,1.725991240066748,0.6311708918995222,0.0,197,0.7013009909994692
bmi_cat,1,2,chi2,47.260399675899656,3.0594080368895166e-10,0.4612222439008045,209,1.0198026789631722e-09
bmi_cat,1,3,chi2,109.32166381703165,1.5357304970843118e-23,0.7402598615988918,195,1.5357304970843117e-22
bmi_cat,1,4,chi2,38.69477339196665,2.0142836784809322e-08,0.5121655533166872,137,4.0285673569618645e-08
bmi_cat,2,3,chi2,39.31952576076883,1.485146922708647e-08,0.3729789189493586,262,3.7128673067716174e-08
bmi_cat,2,4,chi2,0.6020588690522093,0.8959608809590147,0.0,204,0.8959608809590147
bmi_cat,3,4,chi2,23.675252939141057,2.9199352640636872e-05,0.3306235754482002,190,4.1713360915195535e-05
bp_cat,0,1,chi2,16.94376786839884,3.8503512125781954e-05,0.28160156098152556,202,4.812939015722744e-05
bp_cat,0,2,chi2,52.94561684844979,3.4291239308880064e-13,0.44024505005435094,269,1.1430413102960022e-12
bp_cat,0,3,chi2,16.952594616330604,3.832490497508009e-05,0.2505812519849817,255,4.812939015722744e-05
bp_cat,0,4,chi2,1.5652703461269935,0.21089520572080736,0.0534609760083899,197,0.23432800635645262
bp_cat,1,2,chi2,86.57338686634571,1.3464694223354537e-20,0.6414022987676187,209,6.732347111677268e-20
bp_cat,1,3,chi2,1.1237409063879573,0.28911436367644006,0.02472419181022153,195,0.28911436367644006
bp_cat,1,4,chi2,24.207062543199665,8.651444563151276e-07,0.41303186726685914,137,1.7302889126302552e-06
bp_cat,2,3,chi2,111.33453051930508,4.998297825557724e-26,0.6501762765799765,262,4.998297825557724e-25
bp_cat,2,4,chi2,21.71323640127988,3.1659922140760684e-06,0.3193960805597527,204,5.276653690126781e-06
bp_cat,3,4,chi2,25.47487857404692,4.481807709811674e-07,0.3598226533157161,190,1.1204519274529184e-06
