variable,cluster_1,cluster_2,test,statistic,p_value,effect_size,median_1,median_2,median_diff,mean_1,mean_2,n_1,n_2,p_adj_fdr
t2m_pre_mean_rr,0,1,mannwhitneyu,3757.0,0.024361778084176344,-0.19212987850768734,842.0,881.0,-39.0,825.1541984732825,861.6422535211267,131,71,0.18312512597601394
t2m_pre_mean_rr,0,2,mannwhitneyu,7901.5,0.07461571750848274,-0.1258435667662352,842.0,851.0,-9.0,825.1541984732825,853.9710144927536,131,138,0.24871905836160915
t2m_pre_mean_rr,0,3,mannwhitneyu,7788.0,0.5710268029482659,-0.04112287613888205,842.0,831.0,11.0,825.1541984732825,841.3064516129032,131,124,0.6344742254980732
t2m_pre_mean_rr,0,4,mannwhitneyu,3885.5,0.24725322776119152,-0.10120286837844089,842.0,857.0,-15.0,825.1541984732825,840.439393939394,131,66,0.49450645552238304
t2m_pre_mean_rr,1,2,mannwhitneyu,5255.5,0.38992555249484884,0.07276995305164319,881.0,851.0,30.0,861.6422535211267,853.9710144927536,71,138,0.5191239099966574
t2m_pre_mean_rr,1,3,mannwhitneyu,5195.0,0.03662502519520279,0.180145388459791,881.0,831.0,50.0,861.6422535211267,841.3064516129032,71,124,0.18312512597601394
t2m_pre_mean_rr,1,4,mannwhitneyu,2547.0,0.38067924883380877,0.08706786171574904,881.0,857.0,24.0,861.6422535211267,840.439393939394,71,66,0.5191239099966574
t2m_pre_mean_rr,2,3,mannwhitneyu,9387.0,0.1750499409198789,0.09712482468443198,851.0,831.0,20.0,853.9710144927536,841.3064516129032,138,124,0.4376248522996973
t2m_pre_mean_rr,2,4,mannwhitneyu,4635.5,0.8372979399909376,0.017896354852876592,851.0,857.0,-6.0,853.9710144927536,840.439393939394,138,66,0.8372979399909376
t2m_pre_mean_rr,3,4,mannwhitneyu,3797.5,0.41529912799732593,-0.07196969696969698,831.0,857.0,-26.0,841.3064516129032,840.439393939394,124,66,0.5191239099966574
t2m_pre_mean_hr,0,1,mannwhitneyu,5619.0,0.010830481863179302,0.21755146262188516,71.0,68.0,3.0,73.62307692307692,68.90140845070422,130,71,0.10034121800314315
t2m_pre_mean_hr,0,2,mannwhitneyu,10236.5,0.0457700709395979,0.1411928651059086,71.0,70.0,1.0,73.62307692307692,70.39855072463769,130,138,0.11442517734899475
t2m_pre_mean_hr,0,3,mannwhitneyu,8437.0,0.5198037249568461,0.0467741935483871,71.0,72.0,-1.0,73.62307692307692,72.45967741935483,130,124,0.6497546561960577
t2m_pre_mean_hr,0,4,mannwhitneyu,5051.5,0.04243532206945268,0.1775058275058275,71.0,69.0,2.0,73.62307692307692,69.31818181818181,130,66,0.11442517734899475
t2m_pre_mean_hr,1,2,mannwhitneyu,4506.5,0.3434751516203174,-0.08011839150847112,68.0,70.0,-2.0,68.90140845070422,70.39855072463769,71,138,0.49067878802902487
t2m_pre_mean_hr,1,3,mannwhitneyu,3520.5,0.02006824360062863,-0.20024988641526578,68.0,72.0,-4.0,68.90140845070422,72.45967741935483,71,124,0.10034121800314315
t2m_pre_mean_hr,1,4,mannwhitneyu,2256.0,0.7091526440461695,-0.03713188220230474,68.0,69.0,-1.0,68.90140845070422,69.31818181818181,71,66,0.7091526440461695
t2m_pre_mean_hr,2,3,mannwhitneyu,7645.5,0.13709291768884066,-0.10641654978962131,70.0,72.0,-2.0,70.39855072463769,72.45967741935483,138,124,0.22848819614806778
t2m_pre_mean_hr,2,4,mannwhitneyu,4742.0,0.6343404899418199,0.041282389108476064,70.0,69.0,1.0,70.39855072463769,69.31818181818181,138,66,0.7048227666020221
t2m_pre_mean_hr,3,4,mannwhitneyu,4664.0,0.11310928662281128,0.13978494623655913,72.0,69.0,3.0,72.45967741935483,69.31818181818181,124,66,0.22621857324562256
t2m_pre_sdnn,0,1,mannwhitneyu,122.5,6.809985194614674e-30,-0.9732824427480916,15.1,186.0,-170.9,28.576335877862597,188.05714285714285,131,70,2.269995064871558e-29
t2m_pre_sdnn,0,2,mannwhitneyu,1018.0,1.0469743614799966e-35,-0.8848741871642635,15.1,162.0,-146.9,28.576335877862597,160.59037037037038,131,135,5.234871807399983e-35
t2m_pre_sdnn,0,3,mannwhitneyu,431.0,3.0705736109358745e-38,-0.9451653944020356,15.1,147.0,-131.9,28.576335877862597,156.1,131,120,3.070573610935874e-37
t2m_pre_sdnn,0,4,mannwhitneyu,257.5,4.3708344127836166e-26,-0.9375984490488307,15.1,206.0,-190.9,28.576335877862597,209.9190476190476,131,63,1.092708603195904e-25
t2m_pre_sdnn,1,2,mannwhitneyu,5873.0,0.004383664950546054,0.24296296296296296,186.0,162.0,24.0,188.05714285714285,160.59037037037038,70,135,0.0054795811881825675
t2m_pre_sdnn,1,3,mannwhitneyu,5687.0,4.792106974944249e-05,0.35404761904761906,186.0,147.0,39.0,188.05714285714285,156.1,70,120,7.986844958240416e-05
t2m_pre_sdnn,1,4,mannwhitneyu,1930.0,0.21607021874180832,-0.12471655328798185,186.0,206.0,-20.0,188.05714285714285,209.9190476190476,70,63,0.21607021874180832
t2m_pre_sdnn,2,3,mannwhitneyu,8963.0,0.14232218966232843,0.10654320987654321,162.0,147.0,15.0,160.59037037037038,156.1,135,120,0.15813576629147602
t2m_pre_sdnn,2,4,mannwhitneyu,2923.0,0.00040184718187581,-0.31263962375073484,162.0,206.0,-44.0,160.59037037037038,209.9190476190476,135,63,0.0005740674026797286
t2m_pre_sdnn,3,4,mannwhitneyu,2281.5,1.0828236815516794e-05,-0.3964285714285714,147.0,206.0,-59.0,156.1,209.9190476190476,120,63,2.1656473631033587e-05
t2m_pre_rmssd,0,1,mannwhitneyu,2242.0,1.2707642615287582e-09,-0.5179013009353833,10.3,16.5,-6.199999999999999,10.972519083969464,17.646478873239435,131,71,6.353821307643791e-09
t2m_pre_rmssd,0,2,mannwhitneyu,4858.0,8.694456279812952e-11,-0.4586281829832284,10.3,15.0,-4.699999999999999,10.972519083969464,15.929927007299272,131,137,8.694456279812952e-10
t2m_pre_rmssd,0,3,mannwhitneyu,5751.5,8.198256069644082e-05,-0.2861043877614349,10.3,12.2,-1.8999999999999986,10.972519083969464,15.868292682926828,131,123,0.00020495640174110204
t2m_pre_rmssd,0,4,mannwhitneyu,2166.5,6.634535793985784e-07,-0.44872773536895677,10.3,14.35,-4.049999999999999,10.972519083969464,16.536666666666665,131,60,2.2115119313285947e-06
t2m_pre_rmssd,1,2,mannwhitneyu,5661.5,0.052660320708385965,0.1640793667112162,16.5,15.0,1.5,17.646478873239435,15.929927007299272,71,137,0.06582540088548246
t2m_pre_rmssd,1,3,mannwhitneyu,5599.5,0.0010682507478047094,0.2823771899690828,16.5,12.2,4.300000000000001,17.646478873239435,15.868292682926828,71,123,0.002136501495609419
t2m_pre_rmssd,1,4,mannwhitneyu,2429.5,0.16718163652001772,0.14061032863849765,16.5,14.35,2.1500000000000004,17.646478873239435,16.536666666666665,71,60,0.18575737391113079
t2m_pre_rmssd,2,3,mannwhitneyu,9849.5,0.01870046045285086,0.16901074120230253,15.0,12.2,2.8000000000000007,15.929927007299272,15.868292682926828,137,123,0.031167434088084766
t2m_pre_rmssd,2,4,mannwhitneyu,4065.5,0.9048940369369078,-0.010827250608272505,15.0,14.35,0.6500000000000004,15.929927007299272,16.536666666666665,137,60,0.9048940369369078
t2m_pre_rmssd,3,4,mannwhitneyu,2986.0,0.03648842390518257,-0.1907859078590786,12.2,14.35,-2.1500000000000004,15.868292682926828,16.536666666666665,123,60,0.05212631986454653
t2m_pre_hf,0,1,mannwhitneyu,1959.5,1.1737769442197187e-11,-0.57864745726266,32.0,194.0,-162.0,128.50381679389312,319.4507042253521,131,71,2.3475538884394374e-11
t2m_pre_hf,0,2,mannwhitneyu,5378.5,9.515941880086395e-09,-0.40496736364642105,32.0,95.5,-63.5,128.50381679389312,211.55797101449275,131,138,1.5859903133477324e-08
t2m_pre_hf,0,3,mannwhitneyu,5938.0,0.00020770140700098835,-0.2688992858901748,32.0,70.5,-38.5,128.50381679389312,167.7258064516129,131,124,0.00023077934111220927
t2m_pre_hf,0,4,mannwhitneyu,470.5,1.995716128678296e-24,-0.8911635438352996,32.0,930.0,-898.0,128.50381679389312,2095.151515151515,131,66,1.9957161286782958e-23
t2m_pre_hf,1,2,mannwhitneyu,6495.0,0.00011657472202227778,0.32578077158603796,194.0,95.5,98.5,319.4507042253521,211.55797101449275,71,138,0.0001457184025278472
t2m_pre_hf,1,3,mannwhitneyu,6438.0,7.964250698104256e-08,0.46251703771013175,194.0,70.5,123.5,319.4507042253521,167.7258064516129,71,124,1.1377500997291796e-07
t2m_pre_hf,1,4,mannwhitneyu,615.0,9.931425929560879e-14,-0.737516005121639,194.0,930.0,-736.0,319.4507042253521,2095.151515151515,71,66,2.4828564823902195e-13
t2m_pre_hf,2,3,mannwhitneyu,10040.5,0.015379444323646293,0.17350397381954183,95.5,70.5,25.0,211.55797101449275,167.7258064516129,138,124,0.015379444323646293
