cluster,t2m_pre_mean_rr,t2m_pre_mean_hr,t2m_pre_sdnn,t2m_pre_rmssd,t2m_pre_hf,t2m_pre_lf,t2m_pre_vlf,age,weight_kg,height_m_final,imc_final,bp_systolic,bp_diastolic,bp_pam,bp_pp
0,842.0,71.0,15.1,10.3,32.0,56.0,16.0,71.0,71.5,1.57,29.04259002770083,127.0,78.0,94.33333333333331,48.0
1,881.0,68.0,186.0,16.5,194.0,188.0,41.0,68.0,85.0,1.5,36.48484302508896,120.0,74.0,90.0,47.0
2,851.0,70.0,162.0,15.0,95.5,111.0,29.0,72.0,76.0,1.59,30.223286047213996,146.0,83.0,104.83333333333334,62.5
3,831.0,72.0,147.0,12.2,70.5,88.0,25.5,71.0,66.0,1.57,26.65279223031564,121.5,70.0,87.66666666666667,49.0
4,857.0,69.0,206.0,14.35,930.0,1645.0,395.0,70.5,72.5,1.525,30.288888888888888,128.0,77.0,94.83333333333334,49.0
