bmi_cat,n,median,mean,std,q1,q3,iqr,min,max
low,23,73.0,72.47826086956522,11.34928738338544,65.5,77.5,12.0,53.0,98.0
normal,160,69.0,70.5125,11.366942858003071,63.0,76.0,13.0,46.0,128.0
overweight,162,70.0,71.23456790123457,9.963625278688403,63.0,77.75,14.75,53.0,102.0
obesity,184,70.0,72.0054347826087,12.53519516572111,63.0,79.0,16.0,10.0,115.0
