grouping_variable,value_variable,n_total,n_groups,h_stat,p_value,epsilon_squared,group_sizes,p_adj_fdr,significant_fdr,combined_grouping
sex__age_group__bmi_cat,t2m_pre_mean_rr,493,15,18.40750806245053,0.18884600629628182,0.009220728164122444,"{'1 | 70-79 | normal': 50, '1 | 60-69 | normal': 48, '2 | 70-79 | overweight': 35, '1 | 70-79 | obesity': 54, '1 | 70-79 | overweight': 51, '1 | 60-69 | overweight': 41, '1 | 70-79 | low': 12, '1 | 60-69 | obesity': 69, '2 | 60-69 | overweight': 18, '1 | 80+ | overweight': 11, '2 | 70-79 | normal': 26, '1 | 80+ | normal': 12, '2 | 70-79 | obesity': 30, '2 | 60-69 | obesity': 22, '2 | 60-69 | normal': 14}",0.22032034067899547,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_hr,492,15,17.046204161475238,0.25372399292478853,0.006386172246279325,"{'1 | 70-79 | normal': 50, '1 | 60-69 | normal': 48, '2 | 70-79 | overweight': 35, '1 | 70-79 | obesity': 54, '1 | 70-79 | overweight': 51, '1 | 60-69 | overweight': 41, '1 | 70-79 | low': 12, '1 | 60-69 | obesity': 69, '2 | 60-69 | overweight': 18, '1 | 80+ | overweight': 11, '2 | 70-79 | normal': 26, '1 | 80+ | normal': 12, '2 | 70-79 | obesity': 30, '2 | 60-69 | obesity': 22, '2 | 60-69 | normal': 13}",0.25372399292478853,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_sdnn,483,15,63.59605798717602,2.7201812993201602e-08,0.10597448287858123,"{'1 | 70-79 | normal': 47, '1 | 60-69 | normal': 48, '2 | 70-79 | overweight': 35, '1 | 70-79 | obesity': 54, '1 | 70-79 | overweight': 50, '1 | 60-69 | overweight': 40, '1 | 70-79 | low': 12, '1 | 60-69 | obesity': 68, '2 | 60-69 | overweight': 18, '1 | 80+ | overweight': 11, '2 | 70-79 | normal': 25, '1 | 80+ | normal': 12, '2 | 70-79 | obesity': 30, '2 | 60-69 | obesity': 22, '2 | 60-69 | normal': 11}",1.9041269095241122e-07,True,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_rmssd,485,15,22.950866344381883,0.061073931831270946,0.01904439647740826,"{'1 | 70-79 | normal': 48, '1 | 60-69 | normal': 48, '2 | 70-79 | overweight': 34, '1 | 70-79 | obesity': 54, '1 | 70-79 | overweight': 50, '1 | 60-69 | overweight': 40, '1 | 70-79 | low': 12, '1 | 60-69 | obesity': 69, '2 | 60-69 | overweight': 17, '1 | 80+ | overweight': 11, '2 | 70-79 | normal': 24, '1 | 80+ | normal': 12, '2 | 70-79 | obesity': 30, '2 | 60-69 | obesity': 22, '2 | 60-69 | normal': 14}",0.08550350456377932,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_hf,493,15,24.961358473472693,0.03495079459091856,0.022931712287599777,"{'1 | 70-79 | normal': 50, '1 | 60-69 | normal': 48, '2 | 70-79 | overweight': 35, '1 | 70-79 | obesity': 54, '1 | 70-79 | overweight': 51, '1 | 60-69 | overweight': 41, '1 | 70-79 | low': 12, '1 | 60-69 | obesity': 69, '2 | 60-69 | overweight': 18, '1 | 80+ | overweight': 11, '2 | 70-79 | normal': 26, '1 | 80+ | normal': 12, '2 | 70-79 | obesity': 30, '2 | 60-69 | obesity': 22, '2 | 60-69 | normal': 14}",0.06116389053410748,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_lf,493,15,40.23817327822417,0.00023418956447501633,0.054891575895866455,"{'1 | 70-79 | normal': 50, '1 | 60-69 | normal': 48, '2 | 70-79 | overweight': 35, '1 | 70-79 | obesity': 54, '1 | 70-79 | overweight': 51, '1 | 60-69 | overweight': 41, '1 | 70-79 | low': 12, '1 | 60-69 | obesity': 69, '2 | 60-69 | overweight': 18, '1 | 80+ | overweight': 11, '2 | 70-79 | normal': 26, '1 | 80+ | normal': 12, '2 | 70-79 | obesity': 30, '2 | 60-69 | obesity': 22, '2 | 60-69 | normal': 14}",0.0008196634756625572,True,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_vlf,493,15,35.51565556778757,0.001232494086000723,0.04501183173177316,"{'1 | 70-79 | normal': 50, '1 | 60-69 | normal': 48, '2 | 70-79 | overweight': 35, '1 | 70-79 | obesity': 54, '1 | 70-79 | overweight': 51, '1 | 60-69 | overweight': 41, '1 | 70-79 | low': 12, '1 | 60-69 | obesity': 69, '2 | 60-69 | overweight': 18, '1 | 80+ | overweight': 11, '2 | 70-79 | normal': 26, '1 | 80+ | normal': 12, '2 | 70-79 | obesity': 30, '2 | 60-69 | obesity': 22, '2 | 60-69 | normal': 14}",0.0028758195340016874,True,sex__age_group__bmi_cat
sex__age_group__bp_cat,t2m_pre_mean_rr,517,11,12.635688466155353,0.24475996670002975,0.0052088704864730285,"{'1 | 70-79 | normal': 119, '1 | 60-69 | normal': 115, '2 | 70-79 | normal': 61, '1 | 60-69 | high': 47, '1 | 70-79 | high': 48, '2 | 70-79 | high': 33, '2 | 60-69 | normal': 38, '1 | 80+ | normal': 19, '1 | <60 | normal': 8, '1 | 80+ | high': 10, '2 | 60-69 | high': 19}",0.31095558748301605,False,sex__age_group__bp_cat
sex__age_group__bp_cat,t2m_pre_mean_hr,516,11,13.381751240903661,0.20310377560903198,0.0066965371107003185,"{'1 | 70-79 | normal': 119, '1 | 60-69 | normal': 115, '2 | 70-79 | normal': 61, '1 | 60-69 | high': 47, '1 | 70-79 | high': 48, '2 | 70-79 | high': 33, '2 | 60-69 | normal': 37, '1 | 80+ | normal': 19, '1 | <60 | normal': 8, '1 | 80+ | high': 10, '2 | 60-69 | high': 19}",0.31095558748301605,False,sex__age_group__bp_cat
sex__age_group__bp_cat,t2m_pre_sdnn,507,11,56.97945123512713,1.3448281406226277e-08,0.0947166355546918,"{'1 | 70-79 | normal': 116, '1 | 60-69 | normal': 114, '2 | 70-79 | normal': 60, '1 | 60-69 | high': 46, '1 | 70-79 | high': 47, '2 | 70-79 | high': 33, '2 | 60-69 | normal': 36, '1 | 80+ | normal': 19, '1 | <60 | normal': 8, '1 | 80+ | high': 10, '2 | 60-69 | high': 18}",9.413796984358395e-08,True,sex__age_group__bp_cat
