age_group,n,median,mean,std,q1,q3,iqr,min,max
<60,10,13.0,18.97,10.309440118432986,12.55,23.9,11.349999999999998,12.3,40.0
60-69,217,14.2,14.932718894009216,7.740142385477503,10.3,18.2,7.899999999999999,1.0,71.6
70-79,255,13.5,14.949803921568627,9.404308254248656,9.7,17.95,8.25,0.5,71.6
80+,40,11.45,14.36,10.971590352897566,8.9,16.549999999999997,7.649999999999997,5.0,70.0
