bmi_cat,n,median,mean,std,q1,q3,iqr,min,max
low,23,14.7,13.782608695652174,7.371607211821279,6.5,16.75,10.25,5.1,37.0
normal,157,13.7,16.235668789808916,10.216226489485654,11.2,18.6,7.400000000000002,2.9,71.6
overweight,158,13.8,14.691139240506327,8.95221838319914,9.725,17.8,8.075000000000001,1.3,70.0
obesity,184,13.350000000000001,14.290760869565217,7.678724526044393,9.0,17.9,8.899999999999999,0.5,59.4
