age_group,n,median,mean,std,q1,q3,iqr,min,max
<60,10,53.5,127.1,236.35869633532278,29.25,85.25,56.0,20,795
60-69,219,149.0,515.6392694063927,1332.449425004176,72.0,292.5,220.5,11,10220
70-79,261,111.0,452.7318007662835,1094.6233339268485,49.0,270.0,221.0,7,9450
80+,40,73.0,192.875,406.4634961690271,20.5,169.0,148.5,7,2390
