age_group,n,median,mean,std,q1,q3,iqr,min,max
<60,10,31.0,48.4,52.66708860590476,17.75,47.0,29.25,7,182
60-69,219,39.0,110.21917808219177,237.50933810180993,16.5,88.0,71.5,1,2340
70-79,261,30.0,133.24521072796935,305.4403272107174,15.0,83.0,68.0,2,2230
80+,40,21.5,42.75,65.52656537031962,8.0,42.25,34.25,2,290
