age_group,n,median,mean,std,q1,q3,iqr,min,max
<60,10,883.0,873.3,90.8405807506266,802.0,907.0,105.0,741.0,1010.0
60-69,219,830.0,831.0127853881278,152.68013281055943,762.0,922.0,160.0,68.0,1296.0
70-79,261,862.0,849.5938697318007,167.81475398362014,768.0,950.0,182.0,85.8,1203.0
80+,40,884.5,861.05,165.31941887270912,783.5,977.25,193.75,106.0,1078.0
