bmi_cat,n,median,mean,std,q1,q3,iqr,min,max
low,23,90.0,400.30434782608694,1173.7123092905847,39.5,283.5,244.0,4,5740
normal,161,98.0,480.527950310559,1330.8246506495132,38.0,274.0,236.0,1,12130
overweight,162,78.0,406.2654320987654,1372.425905831129,26.0,255.0,229.0,3,13160
obesity,184,118.0,409.7880434782609,925.5249779901043,41.75,301.75,260.0,3,6980
