grouping_variable,value_variable,n_total,n_groups,h_stat,p_value,epsilon_squared,group_sizes,p_adj_fdr,significant_fdr,combined_grouping
sex__age_group,t2m_pre_mean_rr,528,7,4.909611503065005,0.555457415660372,-0.002092876193733196,"{'1 | 70-79': 167, '1 | 60-69': 162, '2 | 70-79': 94, '2 | 60-69': 57, '1 | 80+': 29, '1 | <60': 8, '2 | 80+': 11}",0.555457415660372,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,527,7,8.257972282533508,0.219806295534802,0.004342254389487515,"{'1 | 70-79': 167, '1 | 60-69': 162, '2 | 70-79': 94, '2 | 60-69': 56, '1 | 80+': 29, '1 | <60': 8, '2 | 80+': 11}",0.2564406781239357,False,sex__age_group
sex__age_group,t2m_pre_sdnn,517,7,62.17846850561646,1.6226594544660163e-11,0.11015385981493422,"{'1 | 70-79': 163, '1 | 60-69': 160, '2 | 70-79': 93, '2 | 60-69': 54, '1 | 80+': 29, '1 | <60': 8, '2 | 80+': 10}",1.1358616181262115e-10,True,sex__age_group
sex__age_group,t2m_pre_rmssd,520,7,11.873187973570735,0.06485835917821205,0.011448709500137884,"{'1 | 70-79': 164, '1 | 60-69': 161, '2 | 70-79': 91, '2 | 60-69': 56, '1 | 80+': 29, '1 | <60': 8, '2 | 80+': 11}",0.09080170284949686,False,sex__age_group
sex__age_group,t2m_pre_hf,528,7,15.60107619214451,0.016063100313476783,0.018428169274749537,"{'1 | 70-79': 167, '1 | 60-69': 162, '2 | 70-79': 94, '2 | 60-69': 57, '1 | 80+': 29, '1 | <60': 8, '2 | 80+': 11}",0.02811042554858437,True,sex__age_group
sex__age_group,t2m_pre_lf,528,7,24.089311325730396,0.0005028662725698548,0.03472036722788944,"{'1 | 70-79': 167, '1 | 60-69': 162, '2 | 70-79': 94, '2 | 60-69': 57, '1 | 80+': 29, '1 | <60': 8, '2 | 80+': 11}",0.001173354635996328,True,sex__age_group
sex__age_group,t2m_pre_vlf,528,7,24.585870750528088,0.0004072945886817424,0.03567345633498673,"{'1 | 70-79': 167, '1 | 60-69': 162, '2 | 70-79': 94, '2 | 60-69': 57, '1 | 80+': 29, '1 | <60': 8, '2 | 80+': 11}",0.001173354635996328,True,sex__age_group
sex__bmi_cat,t2m_pre_mean_rr,530,8,5.863315871819107,0.5557970226953145,-0.002177555801112822,"{'1 | normal': 114, '2 | overweight': 57, '1 | obesity': 130, '1 | overweight': 105, '1 | low': 17, '2 | normal': 47, '2 | obesity': 54, '2 | low': 6}",0.6484298598112003,False,sex__bmi_cat
sex__bmi_cat,t2m_pre_mean_hr,529,8,3.2864154317820407,0.8573033008194212,-0.007127801474506639,"{'1 | normal': 114, '2 | overweight': 57, '1 | obesity': 130, '1 | overweight': 105, '1 | low': 17, '2 | normal': 46, '2 | obesity': 54, '2 | low': 6}",0.8573033008194212,False,sex__bmi_cat
sex__bmi_cat,t2m_pre_sdnn,519,8,61.32290673825738,8.212414266721914e-11,0.1063070581961984,"{'1 | normal': 111, '2 | overweight': 57, '1 | obesity': 129, '1 | overweight': 103, '1 | low': 17, '2 | normal': 42, '2 | obesity': 54, '2 | low': 6}",5.74868998670534e-10,True,sex__bmi_cat
sex__bmi_cat,t2m_pre_rmssd,522,8,14.34533984187716,0.045369192971098496,0.014290544439449725,"{'1 | normal': 112, '2 | overweight': 55, '1 | obesity': 130, '1 | overweight': 103, '1 | low': 17, '2 | normal': 45, '2 | obesity': 54, '2 | low': 6}",0.07939608769942237,False,sex__bmi_cat
