sex,n,median,mean,std,q1,q3,iqr,min,max
1,360,154.0,152.97833333333332,85.10148310214011,94.75,209.0,114.25,6.5,436.0
2,159,72.0,97.30754716981131,105.79302072357596,14.95,153.0,138.05,4.8,626.0
