bmi_cat,n,median,mean,std,q1,q3,iqr,min,max
low,23,83.0,107.89565217391304,90.24599955002222,16.55,181.0,164.45,10.6,313.0
normal,153,149.0,147.53202614379086,99.81210350980459,82.0,205.0,123.0,6.4,610.0
overweight,160,121.5,124.67937500000001,93.69957484775982,22.275,176.75,154.475,4.8,436.0
obesity,183,145.0,139.57049180327868,92.5633196005366,77.0,203.5,126.5,6.5,626.0
