bp_cat,n,median,mean,std,q1,q3,iqr,min,max
normal,369,104.0,432.92140921409214,1322.6892532467818,37.0,277.0,240.0,1,13160
high,161,93.0,422.60869565217394,902.9768350704868,34.0,274.0,240.0,3,5740
