grouping_variable,value_variable,group_a,group_b,n_a,n_b,median_a,median_b,p_value_raw,cliffs_delta,cliffs_magnitude,p_adj_fdr,significant_fdr,combined_grouping
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | normal,2 | 70-79 | obesity,50,30,878.5,907.0,0.6511240538357749,0.06133333333333333,negligible,0.8503044036994633,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | normal,2 | 60-69 | obesity,50,22,878.5,794.5,0.07232506152602405,0.2681818181818182,small,0.4746728838429102,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 70-79 | normal,2 | 60-69 | normal,50,14,878.5,880.5,0.597622309151282,0.09428571428571429,negligible,0.8301174663866909,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | normal,2 | 70-79 | overweight,48,35,845.5,842.0,0.7433857474355328,-0.04285714285714286,negligible,0.8971896951808154,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | normal,1 | 70-79 | obesity,48,54,845.5,848.5,0.6436414032633366,0.053626543209876545,negligible,0.8503044036994633,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | normal,1 | 70-79 | overweight,48,51,845.5,862.0,0.4665023844148759,-0.08537581699346405,negligible,0.821864707463291,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | normal,1 | 60-69 | overweight,48,41,845.5,786.0,0.06581211971171688,0.22764227642276422,small,0.4746728838429102,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | normal,1 | 70-79 | low,48,12,845.5,824.5,0.517731894653588,0.1232638888888889,negligible,0.821864707463291,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | normal,1 | 60-69 | obesity,48,69,845.5,849.0,0.7859858722429656,-0.029891304347826088,negligible,0.9169835176167932,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | normal,2 | 60-69 | overweight,48,18,845.5,811.5,0.3493113700661664,0.15162037037037038,small,0.7467507046013109,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | normal,1 | 80+ | overweight,48,11,845.5,862.0,0.668492252812259,-0.08522727272727272,negligible,0.8559961773815511,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | normal,2 | 70-79 | normal,48,26,845.5,880.5,0.5751144077008523,-0.08012820512820513,negligible,0.8301174663866909,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | normal,1 | 80+ | normal,48,12,845.5,893.5,0.07011491165543297,-0.3420138888888889,medium,0.4746728838429102,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | normal,2 | 70-79 | obesity,48,30,845.5,907.0,0.5076670643712895,-0.09027777777777778,negligible,0.821864707463291,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | normal,2 | 60-69 | obesity,48,22,845.5,794.5,0.2907739873402325,0.1590909090909091,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,1 | 60-69 | normal,2 | 60-69 | normal,48,14,845.5,880.5,0.5333064558242677,-0.11160714285714286,negligible,0.821864707463291,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 70-79 | overweight,1 | 70-79 | obesity,35,54,842.0,848.5,0.40566490614695805,0.1052910052910053,negligible,0.8036757574609547,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 70-79 | overweight,1 | 70-79 | overweight,35,51,842.0,862.0,0.7953732759214694,-0.03361344537815126,negligible,0.9177383952940031,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 70-79 | overweight,1 | 60-69 | overweight,35,41,842.0,786.0,0.06283873237417845,0.2494773519163763,small,0.4746728838429102,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 70-79 | overweight,1 | 70-79 | low,35,12,842.0,824.5,0.42071155021039464,0.1595238095238095,small,0.8180502365202119,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 70-79 | overweight,1 | 60-69 | obesity,35,69,842.0,849.0,0.8257598343856192,0.026915113871635612,negligible,0.922391304366915,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 70-79 | overweight,2 | 60-69 | overweight,35,18,842.0,811.5,0.2677935207598581,0.18888888888888888,small,0.732597758919146,False,sex__age_group__bmi_cat
sex__age_group__bmi_cat,t2m_pre_mean_rr,2 | 70-79 | overweight,1 | 80+ | overweight,35,11,842.0,862.0,0.8873570842627253,-0.03116883116883117,negligible,0.9264323588896247,False,sex__age_group__bmi_cat
