bmi_cat,n,median,mean,std,q1,q3,iqr,min,max
low,23,91.0,586.695652173913,1949.5105780864965,38.0,285.5,247.5,18,9450
normal,161,150.0,456.44099378881987,1219.2442835867657,64.0,290.0,226.0,7,10220
overweight,162,98.0,519.2654320987655,1288.6768446175865,46.25,245.75,199.5,11,7600
obesity,184,119.5,374.8478260869565,806.622133550801,61.75,250.25,188.5,7,5500
