bp_cat,n,median,mean,std,q1,q3,iqr,min,max
normal,369,122.0,459.0460704607046,1201.9324139747,53.0,271.0,218.0,9,10220
high,161,111.0,439.04347826086956,1056.1578501094548,57.0,261.0,204.0,7,7260
