bp_cat,n,median,mean,std,q1,q3,iqr,min,max
normal,369,857.0,848.9691056910568,157.69715686111292,779.0,943.0,164.0,85.8,1296.0
high,161,834.0,830.0695652173914,166.16004071507314,738.0,945.0,207.0,68.0,1203.0
