age_group,n,median,mean,std,q1,q3,iqr,min,max
<60,10,47.0,123.6,172.45624243719203,41.25,82.0,40.75,7,529
60-69,219,128.0,434.52054794520546,1153.3958888476704,50.5,334.0,283.5,3,12130
70-79,261,97.0,474.735632183908,1352.7029561338134,33.0,256.0,223.0,1,13160
80+,40,50.0,187.15,337.3081639034215,16.75,190.0,173.25,6,1585
