grouping_variable,value_variable,group_a,group_b,p_adj,combined_grouping
sex__age_group,t2m_pre_mean_hr,1 | 70-79,1 | 80+,0.8952660316775458,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 70-79,1 | <60,0.9170019024540151,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 70-79,2 | 60-69,0.3227998294496086,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 70-79,2 | 70-79,0.9170019024540151,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 70-79,2 | 80+,0.9170019024540151,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 80+,1 | <60,0.8952660316775458,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 80+,2 | 60-69,0.3227998294496086,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 80+,2 | 70-79,0.8952660316775458,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 80+,2 | 80+,0.9170019024540151,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | <60,2 | 60-69,0.9170019024540151,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | <60,2 | 70-79,0.9170019024540151,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | <60,2 | 80+,0.9170019024540151,sex__age_group
sex__age_group,t2m_pre_mean_hr,2 | 60-69,2 | 70-79,0.3227998294496086,sex__age_group
sex__age_group,t2m_pre_mean_hr,2 | 60-69,2 | 80+,0.8952660316775458,sex__age_group
sex__age_group,t2m_pre_mean_hr,2 | 70-79,2 | 80+,0.9276296076642022,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 60-69,1 | 70-79,0.14074118718305048,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 60-69,1 | 80+,0.11873688437832527,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 60-69,1 | <60,0.273591270643996,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 60-69,2 | 60-69,3.0484828153878836e-09,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 60-69,2 | 70-79,3.4647366814685062e-06,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 60-69,2 | 80+,0.001781039311592395,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 70-79,1 | 80+,0.4403963292553027,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 70-79,1 | <60,0.5581895949728191,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 70-79,2 | 60-69,2.6238949889860205e-06,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 70-79,2 | 70-79,0.0018548542969821528,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 70-79,2 | 80+,0.010275624192512071,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 80+,1 | <60,0.8591852078207602,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 80+,2 | 60-69,0.020152272633501982,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 80+,2 | 70-79,0.273591270643996,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | 80+,2 | 80+,0.08586231552021675,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | <60,2 | 60-69,0.21636296891661444,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | <60,2 | 70-79,0.6491502189242209,sex__age_group
sex__age_group,t2m_pre_sdnn,1 | <60,2 | 80+,0.2151212965653916,sex__age_group
sex__age_group,t2m_pre_sdnn,2 | 60-69,2 | 70-79,0.09093415940555642,sex__age_group
sex__age_group,t2m_pre_sdnn,2 | 60-69,2 | 80+,0.6760538837923447,sex__age_group
sex__age_group,t2m_pre_sdnn,2 | 70-79,2 | 80+,0.2151212965653916,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 60-69,1 | 70-79,0.6066085844775666,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 60-69,1 | 80+,0.3479479940008966,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 60-69,1 | <60,0.3854934213667162,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 60-69,2 | 60-69,0.2846868644615703,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 60-69,2 | 70-79,0.2701565735547939,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 60-69,2 | 80+,0.2061397430161385,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 70-79,1 | 80+,0.5225699362089821,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 70-79,1 | <60,0.3399319479976874,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 70-79,2 | 60-69,0.3399319479976874,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 70-79,2 | 70-79,0.2846868644615703,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 70-79,2 | 80+,0.24675072387161318,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 80+,1 | <60,0.2846868644615703,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 80+,2 | 60-69,0.9611604340345964,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 80+,2 | 70-79,0.9611604340345964,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | 80+,2 | 80+,0.2846868644615703,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | <60,2 | 60-69,0.2846868644615703,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | <60,2 | 70-79,0.2846868644615703,sex__age_group
sex__age_group,t2m_pre_rmssd,1 | <60,2 | 80+,0.2061397430161385,sex__age_group
sex__age_group,t2m_pre_rmssd,2 | 60-69,2 | 70-79,0.985484238193922,sex__age_group
sex__age_group,t2m_pre_rmssd,2 | 60-69,2 | 80+,0.2846868644615703,sex__age_group
sex__age_group,t2m_pre_rmssd,2 | 70-79,2 | 80+,0.2846868644615703,sex__age_group
sex__age_group,t2m_pre_hf,1 | 60-69,1 | 70-79,0.13473869084032727,sex__age_group
sex__age_group,t2m_pre_hf,1 | 60-69,1 | 80+,0.13473869084032727,sex__age_group
sex__age_group,t2m_pre_hf,1 | 60-69,1 | <60,0.29654878006015867,sex__age_group
sex__age_group,t2m_pre_hf,1 | 60-69,2 | 60-69,0.3536797546766279,sex__age_group
sex__age_group,t2m_pre_hf,1 | 60-69,2 | 70-79,0.13473869084032727,sex__age_group
sex__age_group,t2m_pre_hf,1 | 60-69,2 | 80+,0.0793358625515898,sex__age_group
sex__age_group,t2m_pre_hf,1 | 70-79,1 | 80+,0.5299562684815234,sex__age_group
sex__age_group,t2m_pre_hf,1 | 70-79,1 | <60,0.5299562684815234,sex__age_group
sex__age_group,t2m_pre_hf,1 | 70-79,2 | 60-69,0.9467652826709902,sex__age_group
sex__age_group,t2m_pre_hf,1 | 70-79,2 | 70-79,0.7333816611205741,sex__age_group
sex__age_group,t2m_pre_hf,1 | 70-79,2 | 80+,0.13473869084032727,sex__age_group
sex__age_group,t2m_pre_hf,1 | 80+,1 | <60,0.7592677833403436,sex__age_group
sex__age_group,t2m_pre_hf,1 | 80+,2 | 60-69,0.5299562684815234,sex__age_group
sex__age_group,t2m_pre_hf,1 | 80+,2 | 70-79,0.6331487006676322,sex__age_group
sex__age_group,t2m_pre_hf,1 | 80+,2 | 80+,0.38761739881290147,sex__age_group
sex__age_group,t2m_pre_hf,1 | <60,2 | 60-69,0.5299562684815234,sex__age_group
sex__age_group,t2m_pre_hf,1 | <60,2 | 70-79,0.6245737778253663,sex__age_group
sex__age_group,t2m_pre_hf,1 | <60,2 | 80+,0.6297511985963619,sex__age_group
sex__age_group,t2m_pre_hf,2 | 60-69,2 | 70-79,0.7354006359651194,sex__age_group
sex__age_group,t2m_pre_hf,2 | 60-69,2 | 80+,0.13473869084032727,sex__age_group
sex__age_group,t2m_pre_hf,2 | 70-79,2 | 80+,0.16806002910235962,sex__age_group
sex__age_group,t2m_pre_lf,1 | 60-69,1 | 70-79,0.1909251584317933,sex__age_group
sex__age_group,t2m_pre_lf,1 | 60-69,1 | 80+,0.029995136397606457,sex__age_group
sex__age_group,t2m_pre_lf,1 | 60-69,1 | <60,0.08219888850781644,sex__age_group
sex__age_group,t2m_pre_lf,1 | 60-69,2 | 60-69,0.16227634469180607,sex__age_group
sex__age_group,t2m_pre_lf,1 | 60-69,2 | 70-79,0.03289669245098044,sex__age_group
sex__age_group,t2m_pre_lf,1 | 60-69,2 | 80+,0.03289669245098044,sex__age_group
sex__age_group,t2m_pre_lf,1 | 70-79,1 | 80+,0.08219888850781644,sex__age_group
sex__age_group,t2m_pre_lf,1 | 70-79,1 | <60,0.16227634469180607,sex__age_group
sex__age_group,t2m_pre_lf,1 | 70-79,2 | 60-69,0.5854343517943722,sex__age_group
sex__age_group,t2m_pre_lf,1 | 70-79,2 | 70-79,0.1909251584317933,sex__age_group
sex__age_group,t2m_pre_lf,1 | 70-79,2 | 80+,0.08219888850781644,sex__age_group
sex__age_group,t2m_pre_lf,1 | 80+,1 | <60,0.6289069596082779,sex__age_group
sex__age_group,t2m_pre_lf,1 | 80+,2 | 60-69,0.1909251584317933,sex__age_group
sex__age_group,t2m_pre_lf,1 | 80+,2 | 70-79,0.2898899554540726,sex__age_group
sex__age_group,t2m_pre_lf,1 | 80+,2 | 80+,0.5854343517943722,sex__age_group
sex__age_group,t2m_pre_lf,1 | <60,2 | 60-69,0.1968193156824593,sex__age_group
sex__age_group,t2m_pre_lf,1 | <60,2 | 70-79,0.28256936549452244,sex__age_group
sex__age_group,t2m_pre_lf,1 | <60,2 | 80+,0.9522573814368926,sex__age_group
sex__age_group,t2m_pre_lf,2 | 60-69,2 | 70-79,0.6103766609156833,sex__age_group
sex__age_group,t2m_pre_lf,2 | 60-69,2 | 80+,0.16227634469180607,sex__age_group
sex__age_group,t2m_pre_lf,2 | 70-79,2 | 80+,0.1909251584317933,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 60-69,1 | 70-79,0.5180582570827001,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 60-69,1 | 80+,0.018352728558198483,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 60-69,1 | <60,0.9286791655459581,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 60-69,2 | 60-69,0.013761361708914363,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 60-69,2 | 70-79,0.012148481541489765,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 60-69,2 | 80+,0.25156174340925586,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 70-79,1 | 80+,0.047176208724944865,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 70-79,1 | <60,0.9286791655459581,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 70-79,2 | 60-69,0.047176208724944865,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 70-79,2 | 70-79,0.047176208724944865,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 70-79,2 | 80+,0.4314400666407016,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 80+,1 | <60,0.4314400666407016,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 80+,2 | 60-69,0.8737008340184846,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 80+,2 | 70-79,0.6749390237520876,sex__age_group
sex__age_group,t2m_pre_vlf,1 | 80+,2 | 80+,0.9286791655459581,sex__age_group
sex__age_group,t2m_pre_vlf,1 | <60,2 | 60-69,0.5180582570827001,sex__age_group
sex__age_group,t2m_pre_vlf,1 | <60,2 | 70-79,0.5180582570827001,sex__age_group
sex__age_group,t2m_pre_vlf,1 | <60,2 | 80+,0.5180582570827001,sex__age_group
