grouping_variable,value_variable,group_a,group_b,p_adj,combined_grouping
sex__bmi_cat,t2m_pre_hf,1 | low,2 | obesity,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | low,2 | overweight,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | normal,1 | obesity,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | normal,1 | overweight,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | normal,2 | low,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | normal,2 | normal,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | normal,2 | obesity,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | normal,2 | overweight,0.25672827701895207,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | obesity,1 | overweight,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | obesity,2 | low,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | obesity,2 | normal,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | obesity,2 | obesity,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | obesity,2 | overweight,0.25672827701895207,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | overweight,2 | low,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | overweight,2 | normal,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | overweight,2 | obesity,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,1 | overweight,2 | overweight,0.566187417111846,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,2 | low,2 | normal,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,2 | low,2 | obesity,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,2 | low,2 | overweight,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,2 | normal,2 | obesity,0.9735091016844686,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,2 | normal,2 | overweight,0.566187417111846,sex__bmi_cat
sex__bmi_cat,t2m_pre_hf,2 | obesity,2 | overweight,0.7672650722475077,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | low,1 | normal,0.9780241110679535,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | low,1 | obesity,0.8265238110667285,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | low,1 | overweight,0.9070852194627428,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | low,2 | low,0.17606335791553532,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | low,2 | normal,0.7820053421113642,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | low,2 | obesity,0.3776435203323733,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | low,2 | overweight,0.3776435203323733,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | normal,1 | obesity,0.5169339687993232,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | normal,1 | overweight,0.8635539076894593,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | normal,2 | low,0.13770194607771144,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | normal,2 | normal,0.5169339687993232,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | normal,2 | obesity,0.13770194607771144,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | normal,2 | overweight,0.13770194607771144,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | obesity,1 | overweight,0.3776435203323733,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | obesity,2 | low,0.10305743742656062,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | obesity,2 | normal,0.9070852194627428,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | obesity,2 | obesity,0.077781471308492,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | obesity,2 | overweight,0.077781471308492,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | overweight,2 | low,0.16064605887004213,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | overweight,2 | normal,0.39426032396960864,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | overweight,2 | obesity,0.17606335791553532,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,1 | overweight,2 | overweight,0.18699375815417585,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,2 | low,2 | normal,0.10305743742656062,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,2 | low,2 | obesity,0.3815023415785331,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,2 | low,2 | overweight,0.3776435203323733,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,2 | normal,2 | obesity,0.10305743742656062,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,2 | normal,2 | overweight,0.10305743742656062,sex__bmi_cat
sex__bmi_cat,t2m_pre_lf,2 | obesity,2 | overweight,0.9675960157998621,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | low,1 | normal,0.5625883717978708,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | low,1 | obesity,0.9966814065429221,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | low,1 | overweight,0.910377373619088,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | low,2 | low,0.15347600685549545,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | low,2 | normal,0.542973751987822,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | low,2 | obesity,0.15347600685549545,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | low,2 | overweight,0.15347600685549545,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | normal,1 | obesity,0.24226963294650308,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | normal,1 | overweight,0.49331985254323446,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | normal,2 | low,0.20365539807524527,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | normal,2 | normal,0.910377373619088,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | normal,2 | obesity,0.15121032948256996,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | normal,2 | overweight,0.15121032948256996,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | obesity,1 | overweight,0.7888970923722166,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | obesity,2 | low,0.15121032948256996,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | obesity,2 | normal,0.3101379335137782,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | obesity,2 | obesity,0.01601700636886479,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | obesity,2 | overweight,0.01601700636886479,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | overweight,2 | low,0.15121032948256996,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | overweight,2 | normal,0.494003180267776,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | overweight,2 | obesity,0.03404731087323917,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,1 | overweight,2 | overweight,0.03404731087323917,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,2 | low,2 | normal,0.24226963294650308,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,2 | low,2 | obesity,0.5033691007179386,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,2 | low,2 | overweight,0.5033691007179386,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,2 | normal,2 | obesity,0.24226963294650308,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,2 | normal,2 | overweight,0.24226963294650308,sex__bmi_cat
sex__bmi_cat,t2m_pre_vlf,2 | obesity,2 | overweight,0.9966814065429221,sex__bmi_cat
sex__bp_cat,t2m_pre_mean_rr,1 | high,1 | normal,0.6274650928971757,sex__bp_cat
sex__bp_cat,t2m_pre_mean_rr,1 | high,2 | high,0.38251950361181525,sex__bp_cat
sex__bp_cat,t2m_pre_mean_rr,1 | high,2 | normal,0.34210467510372355,sex__bp_cat
sex__bp_cat,t2m_pre_mean_rr,1 | normal,2 | high,0.34210467510372355,sex__bp_cat
sex__bp_cat,t2m_pre_mean_rr,1 | normal,2 | normal,0.37553993656882956,sex__bp_cat
sex__bp_cat,t2m_pre_mean_rr,2 | high,2 | normal,0.1935996017388248,sex__bp_cat
sex__bp_cat,t2m_pre_mean_hr,1 | high,1 | normal,0.512761151094324,sex__bp_cat
sex__bp_cat,t2m_pre_mean_hr,1 | high,2 | high,0.49098376993438064,sex__bp_cat
sex__bp_cat,t2m_pre_mean_hr,1 | high,2 | normal,0.42965344183121235,sex__bp_cat
sex__bp_cat,t2m_pre_mean_hr,1 | normal,2 | high,0.4251149577002933,sex__bp_cat
sex__bp_cat,t2m_pre_mean_hr,1 | normal,2 | normal,0.49098376993438064,sex__bp_cat
sex__bp_cat,t2m_pre_mean_hr,2 | high,2 | normal,0.35531255629463454,sex__bp_cat
sex__bp_cat,t2m_pre_sdnn,1 | high,1 | normal,0.7731588065961281,sex__bp_cat
sex__bp_cat,t2m_pre_sdnn,1 | high,2 | high,0.000333100331435511,sex__bp_cat
sex__bp_cat,t2m_pre_sdnn,1 | high,2 | normal,1.978680006091714e-06,sex__bp_cat
sex__bp_cat,t2m_pre_sdnn,1 | normal,2 | high,2.4072366435464023e-05,sex__bp_cat
sex__bp_cat,t2m_pre_sdnn,1 | normal,2 | normal,2.6677170085556336e-09,sex__bp_cat
sex__bp_cat,t2m_pre_sdnn,2 | high,2 | normal,0.7731588065961281,sex__bp_cat
sex__bp_cat,t2m_pre_rmssd,1 | high,1 | normal,0.6483723772762782,sex__bp_cat
sex__bp_cat,t2m_pre_rmssd,1 | high,2 | high,0.26684534024641854,sex__bp_cat
sex__bp_cat,t2m_pre_rmssd,1 | high,2 | normal,0.08592023255255261,sex__bp_cat
sex__bp_cat,t2m_pre_rmssd,1 | normal,2 | high,0.3385488130467873,sex__bp_cat
sex__bp_cat,t2m_pre_rmssd,1 | normal,2 | normal,0.08592023255255261,sex__bp_cat
sex__bp_cat,t2m_pre_rmssd,2 | high,2 | normal,0.6483723772762782,sex__bp_cat
sex__bp_cat,t2m_pre_hf,1 | high,1 | normal,0.8375147218568938,sex__bp_cat
sex__bp_cat,t2m_pre_hf,1 | high,2 | high,0.3994631350709497,sex__bp_cat
sex__bp_cat,t2m_pre_hf,1 | high,2 | normal,0.4652097905698917,sex__bp_cat
sex__bp_cat,t2m_pre_hf,1 | normal,2 | high,0.3994631350709497,sex__bp_cat
sex__bp_cat,t2m_pre_hf,1 | normal,2 | normal,0.4652097905698917,sex__bp_cat
sex__bp_cat,t2m_pre_hf,2 | high,2 | normal,0.6111153157801769,sex__bp_cat
sex__bp_cat,t2m_pre_lf,1 | high,1 | normal,0.9456466012778788,sex__bp_cat
sex__bp_cat,t2m_pre_lf,1 | high,2 | high,0.28652228917490885,sex__bp_cat
sex__bp_cat,t2m_pre_lf,1 | high,2 | normal,0.21099830705527367,sex__bp_cat
sex__bp_cat,t2m_pre_lf,1 | normal,2 | high,0.21099830705527367,sex__bp_cat
sex__bp_cat,t2m_pre_lf,1 | normal,2 | normal,0.1623851932593662,sex__bp_cat
sex__bp_cat,t2m_pre_lf,2 | high,2 | normal,0.9734289695579686,sex__bp_cat
sex__bp_cat,t2m_pre_vlf,1 | high,1 | normal,0.8625232113268494,sex__bp_cat
sex__bp_cat,t2m_pre_vlf,1 | high,2 | high,0.012145142622398169,sex__bp_cat
sex__bp_cat,t2m_pre_vlf,1 | high,2 | normal,0.012145142622398169,sex__bp_cat
sex__bp_cat,t2m_pre_vlf,1 | normal,2 | high,0.012145142622398169,sex__bp_cat
sex__bp_cat,t2m_pre_vlf,1 | normal,2 | normal,0.012145142622398169,sex__bp_cat
sex__bp_cat,t2m_pre_vlf,2 | high,2 | normal,0.7895616595401936,sex__bp_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | low,60-69 | normal,0.9532208163008513,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | low,60-69 | obesity,0.9229260831953717,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | low,60-69 | overweight,0.8061630237945896,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | low,70-79 | low,0.8061630237945896,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | low,70-79 | normal,0.9015754336186511,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | low,70-79 | obesity,0.9229260831953717,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | low,70-79 | overweight,0.9892742674718,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | low,80+ | normal,0.9218349631941083,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | low,80+ | obesity,0.9015754336186511,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | low,80+ | overweight,0.9015754336186511,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | low,<60 | normal,0.9015754336186511,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | normal,60-69 | obesity,0.9015754336186511,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | normal,60-69 | overweight,0.5775100052784781,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | normal,70-79 | low,0.8061630237945896,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | normal,70-79 | normal,0.8061630237945896,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | normal,70-79 | obesity,0.9229260831953717,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | normal,70-79 | overweight,0.9015754336186511,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | normal,80+ | normal,0.8510188575596761,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | normal,80+ | obesity,0.9015754336186511,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | normal,80+ | overweight,0.8061630237945896,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | normal,<60 | normal,0.8510188575596761,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | obesity,60-69 | overweight,0.5775100052784781,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | obesity,70-79 | low,0.8061630237945896,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | obesity,70-79 | normal,0.5775100052784781,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | obesity,70-79 | obesity,0.9229260831953717,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | obesity,70-79 | overweight,0.8061630237945896,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | obesity,80+ | normal,0.8061630237945896,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | obesity,80+ | obesity,0.9229260831953717,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | obesity,80+ | overweight,0.7044582253608384,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | obesity,<60 | normal,0.8061630237945896,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | overweight,70-79 | low,0.9532208163008513,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | overweight,70-79 | normal,0.09010495326627996,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | overweight,70-79 | obesity,0.5775100052784781,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | overweight,70-79 | overweight,0.38406827024259116,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | overweight,80+ | normal,0.5775100052784781,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | overweight,80+ | obesity,0.9015754336186511,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | overweight,80+ | overweight,0.38406827024259116,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,60-69 | overweight,<60 | normal,0.6955549012351844,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | low,70-79 | normal,0.5775100052784781,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | low,70-79 | obesity,0.8061630237945896,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | low,70-79 | overweight,0.734104086917177,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | low,80+ | normal,0.7044582253608384,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | low,80+ | obesity,0.9015754336186511,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | low,80+ | overweight,0.5775100052784781,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | low,<60 | normal,0.7536170919702956,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | normal,70-79 | obesity,0.6955549012351844,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | normal,70-79 | overweight,0.8061630237945896,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | normal,80+ | normal,0.9994765080870499,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | normal,80+ | obesity,0.8061630237945896,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | normal,80+ | overweight,0.9015754336186511,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | normal,<60 | normal,0.9229260831953717,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | obesity,70-79 | overweight,0.8510188575596761,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | obesity,80+ | normal,0.8061630237945896,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | obesity,80+ | obesity,0.9229260831953717,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | obesity,80+ | overweight,0.752799386332571,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | obesity,<60 | normal,0.8061630237945896,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | overweight,80+ | normal,0.9015754336186511,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | overweight,80+ | obesity,0.9015754336186511,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | overweight,80+ | overweight,0.8061630237945896,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,70-79 | overweight,<60 | normal,0.9015754336186511,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,80+ | normal,80+ | obesity,0.8242291214194972,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,80+ | normal,80+ | overweight,0.9015754336186511,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,80+ | normal,<60 | normal,0.9229260831953717,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,80+ | obesity,80+ | overweight,0.8061630237945896,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,80+ | obesity,<60 | normal,0.8061630237945896,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_rr,80+ | overweight,<60 | normal,0.9846747501977237,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | low,60-69 | normal,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | low,60-69 | obesity,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | low,60-69 | overweight,0.8693336975251502,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | low,70-79 | low,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | low,70-79 | normal,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | low,70-79 | obesity,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | low,70-79 | overweight,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | low,80+ | normal,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | low,80+ | obesity,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | low,80+ | overweight,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | low,<60 | normal,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | normal,60-69 | obesity,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | normal,60-69 | overweight,0.8693336975251502,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | normal,70-79 | low,0.9736424755621204,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | normal,70-79 | normal,0.8626965595373547,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | normal,70-79 | obesity,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | normal,70-79 | overweight,0.8640640498295601,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | normal,80+ | normal,0.8693336975251502,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | normal,80+ | obesity,0.8693336975251502,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | normal,80+ | overweight,0.8640640498295601,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | normal,<60 | normal,0.8693336975251502,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | obesity,60-69 | overweight,0.8640640498295601,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | obesity,70-79 | low,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | obesity,70-79 | normal,0.8626965595373547,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | obesity,70-79 | obesity,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | obesity,70-79 | overweight,0.8640640498295601,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | obesity,80+ | normal,0.8693336975251502,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | obesity,80+ | obesity,0.8693336975251502,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | obesity,80+ | overweight,0.8640640498295601,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | obesity,<60 | normal,0.8693336975251502,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | overweight,70-79 | low,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | overweight,70-79 | normal,0.2909298053429324,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | overweight,70-79 | obesity,0.8640640498295601,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | overweight,70-79 | overweight,0.506501468144006,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | overweight,80+ | normal,0.8640640498295601,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | overweight,80+ | obesity,0.8640640498295601,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | overweight,80+ | overweight,0.8626965595373547,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,60-69 | overweight,<60 | normal,0.8640640498295601,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | low,70-79 | normal,0.8640640498295601,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | low,70-79 | obesity,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | low,70-79 | overweight,0.8693336975251502,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | low,80+ | normal,0.8693336975251502,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | low,80+ | obesity,0.8693336975251502,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | low,80+ | overweight,0.8640640498295601,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | low,<60 | normal,0.8693336975251502,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | normal,70-79 | obesity,0.8640640498295601,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | normal,70-79 | overweight,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | normal,80+ | normal,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | normal,80+ | obesity,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | normal,80+ | overweight,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | normal,<60 | normal,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | obesity,70-79 | overweight,0.8693336975251502,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | obesity,80+ | normal,0.8693336975251502,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | obesity,80+ | obesity,0.8693336975251502,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | obesity,80+ | overweight,0.8640640498295601,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | obesity,<60 | normal,0.8943603109806512,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | overweight,80+ | normal,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | overweight,80+ | obesity,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | overweight,80+ | overweight,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,70-79 | overweight,<60 | normal,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,80+ | normal,80+ | obesity,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,80+ | normal,80+ | overweight,0.9459462944416254,age_group__bmi_cat
age_group__bmi_cat,t2m_pre_mean_hr,80+ | normal,<60 | normal,0.9459462944416254,age_group__bmi_cat
