bp_cat,n,median,mean,std,q1,q3,iqr,min,max
normal,362,13.6,14.756629834254143,8.44530866647371,9.9,17.9,7.999999999999998,0.5,71.6
high,160,13.850000000000001,15.467500000000001,9.850221400314823,10.2,19.2,9.0,1.2,71.6
