grouping_variable,value_variable,group_a,group_b,n_a,n_b,median_a,median_b,u_stat,p_value,cliffs_delta,cliffs_magnitude,rank_biserial,p_adj_fdr,significant_fdr
sex,t2m_pre_mean_rr,1,2,366,164,848.5,857.0,29540.0,0.7723418336646098,-0.015727042516326804,negligible,0.01572704251632684,0.9010654726087115,False
sex,t2m_pre_mean_hr,1,2,366,163,70.0,69.0,29993.5,0.9194841549599797,0.005514767508129672,negligible,-0.0055147675081297365,0.9194841549599797,False
sex,t2m_pre_sdnn,1,2,360,159,154.0,72.0,40023.5,4.472664940788583e-13,0.398445143256464,medium,-0.39844514325646396,3.130865458552008e-12,True
sex,t2m_pre_rmssd,1,2,362,160,14.0,12.5,33108.5,0.009032589285880082,0.14324930939226518,negligible,-0.1432493093922651,0.01746490771652381,True
sex,t2m_pre_hf,1,2,366,164,111.0,76.0,32787.5,0.08861349842355921,0.09247967479674797,negligible,-0.09247967479674801,0.1240588977929829,False
sex,t2m_pre_lf,1,2,366,164,129.0,98.5,34211.5,0.009979947266585035,0.139927362388378,negligible,-0.13992736238837788,0.01746490771652381,True
sex,t2m_pre_vlf,1,2,366,164,35.0,25.0,36530.5,6.335911281927145e-05,0.21719645475143276,small,-0.21719645475143268,0.0002217568948674501,True
bp_cat,t2m_pre_mean_rr,normal,high,369,161,857.0,834.0,32313.0,0.10771827551674275,0.08781497752865727,negligible,-0.08781497752865719,0.3770139643085996,False
bp_cat,t2m_pre_mean_hr,normal,high,368,161,69.5,72.0,27020.5,0.10741216002140141,-0.08788482311639212,negligible,0.08788482311639212,0.3770139643085996,False
bp_cat,t2m_pre_sdnn,normal,high,361,158,140.0,134.5,29169.0,0.6795076860246295,0.022791822995196186,negligible,-0.02279182299519622,0.7610748542269252,False
bp_cat,t2m_pre_rmssd,normal,high,362,160,13.6,13.850000000000001,28021.0,0.5547167147572529,-0.03242403314917127,negligible,0.032424033149171305,0.7610748542269252,False
bp_cat,t2m_pre_hf,normal,high,369,161,104.0,93.0,30198.0,0.7610748542269252,0.01661364439731354,negligible,-0.0166136443973135,0.7610748542269252,False
bp_cat,t2m_pre_lf,normal,high,369,161,122.0,111.0,30259.0,0.7325829876031553,0.018667205305593428,negligible,-0.018667205305593404,0.7610748542269252,False
bp_cat,t2m_pre_vlf,normal,high,369,161,31.0,31.0,30242.5,0.7402263860338618,0.01811173391237018,negligible,-0.018111733912370198,0.7610748542269252,False
