grouping_variable,value_variable,group_a,group_b,n_a,n_b,median_a,median_b,p_value_raw,cliffs_delta,cliffs_magnitude,p_adj_fdr,significant_fdr,combined_grouping
sex__age_group,t2m_pre_mean_rr,1 | 70-79,1 | 60-69,167,162,857.0,833.5,0.14454488161767806,0.09307311303319288,negligible,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_rr,1 | 70-79,2 | 70-79,167,94,857.0,876.5,0.8610124050564832,-0.013122690788635495,negligible,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_rr,1 | 70-79,2 | 60-69,167,57,857.0,828.0,0.2519318976188063,0.10179640718562874,negligible,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_rr,1 | 70-79,1 | 80+,167,29,857.0,885.0,0.5186187244062563,-0.07536650836258517,negligible,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_rr,1 | 70-79,1 | <60,167,8,857.0,848.5,0.900507867527801,0.02694610778443114,negligible,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_rr,1 | 70-79,2 | 80+,167,11,857.0,871.0,0.6990281913007854,-0.07022318998366903,negligible,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_rr,1 | 60-69,2 | 70-79,162,94,833.5,876.5,0.1893698089184117,-0.09850275807722617,negligible,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_rr,1 | 60-69,2 | 60-69,162,57,833.5,828.0,0.8401264513616065,0.018085336798787092,negligible,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_rr,1 | 60-69,1 | 80+,162,29,833.5,885.0,0.12598810584849512,-0.17879948914431673,small,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_rr,1 | 60-69,1 | <60,162,8,833.5,848.5,0.7129221363244848,-0.0779320987654321,negligible,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_rr,1 | 60-69,2 | 80+,162,11,833.5,871.0,0.3588171689067665,-0.16610549943883277,small,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_rr,2 | 70-79,2 | 60-69,94,57,876.5,828.0,0.29025487415750184,0.10302351623740201,negligible,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_rr,2 | 70-79,1 | 80+,94,29,876.5,885.0,0.7184859396834644,-0.04475421863536317,negligible,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_rr,2 | 70-79,1 | <60,94,8,876.5,848.5,0.7842070185170626,0.0598404255319149,negligible,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_rr,2 | 70-79,2 | 80+,94,11,876.5,871.0,0.8057585422321198,-0.04642166344294004,negligible,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_rr,2 | 60-69,1 | 80+,57,29,828.0,885.0,0.20252606239619408,-0.1693889897156685,small,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_rr,2 | 60-69,1 | <60,57,8,828.0,848.5,0.6105633835823281,-0.11403508771929824,negligible,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_rr,2 | 60-69,2 | 80+,57,11,828.0,871.0,0.3909812929355678,-0.16586921850079744,small,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_rr,1 | 80+,1 | <60,29,8,885.0,848.5,0.7678648767584372,0.07327586206896551,negligible,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_rr,1 | 80+,2 | 80+,29,11,885.0,871.0,0.9035453946698718,0.02821316614420063,negligible,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_rr,1 | <60,2 | 80+,8,11,848.5,871.0,0.9038924611680029,-0.045454545454545456,negligible,0.9038924611680029,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 70-79,1 | 60-69,167,162,70.0,72.0,0.0684947245431444,-0.11613809418200635,negligible,0.40212750951778214,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 70-79,2 | 70-79,167,94,70.0,68.0,0.8421899437278778,0.014906357497770417,negligible,0.9138793693401512,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 70-79,2 | 60-69,167,56,70.0,72.5,0.09225759449262157,-0.1504491017964072,small,0.40212750951778214,False,sex__age_group
sex__age_group,t2m_pre_mean_hr,1 | 70-79,1 | 80+,167,29,70.0,68.0,0.39835087197765917,0.09849266983274829,negligible,0.9138793693401512,False,sex__age_group
