grouping_variable,value_variable,group_a,group_b,n_a,n_b,median_a,median_b,p_value_raw,cliffs_delta,cliffs_magnitude,p_adj_fdr,significant_fdr
age_group,t2m_pre_sdnn,70-79,<60,256,10,138.0,82.0,0.2796773903126496,0.201953125,small,0.3356128683751795,False
age_group,t2m_pre_sdnn,60-69,80+,214,39,148.0,106.0,0.06747628817399508,0.1842798945602684,small,0.3356128683751795,False
age_group,t2m_pre_sdnn,60-69,<60,214,10,148.0,82.0,0.1381453629597764,0.2780373831775701,small,0.3356128683751795,False
age_group,t2m_pre_sdnn,80+,<60,39,10,106.0,82.0,0.8620893590536289,0.038461538461538464,negligible,0.8620893590536289,False
age_group,t2m_pre_rmssd,70-79,60-69,255,217,13.5,14.2,0.4610869396564793,-0.039360260233125506,negligible,0.4610869396564793,False
age_group,t2m_pre_rmssd,70-79,80+,255,40,13.5,11.45,0.19193163636469468,0.1284313725490196,negligible,0.33619508780383245,False
age_group,t2m_pre_rmssd,70-79,<60,255,10,13.5,13.0,0.2241300585358883,-0.22705882352941176,small,0.33619508780383245,False
age_group,t2m_pre_rmssd,60-69,80+,217,40,14.2,11.45,0.0739143198858353,0.17799539170506912,small,0.2217429596575059,False
age_group,t2m_pre_rmssd,60-69,<60,217,10,14.2,13.0,0.44817067102012187,-0.1423963133640553,negligible,0.4610869396564793,False
age_group,t2m_pre_rmssd,80+,<60,40,10,11.45,13.0,0.026429587727611257,-0.46,medium,0.15857752636566755,False
age_group,t2m_pre_hf,70-79,60-69,261,219,97.0,128.0,0.034871343451003727,-0.11175842824402106,negligible,0.10461403035301119,False
age_group,t2m_pre_hf,70-79,80+,261,40,97.0,50.0,0.08232511406358345,0.1706896551724138,small,0.1440363044198311,False
age_group,t2m_pre_hf,70-79,<60,261,10,97.0,47.0,0.34748148512105226,0.17547892720306513,small,0.4169777821452627,False
age_group,t2m_pre_hf,60-69,80+,219,40,128.0,50.0,0.00263844945130733,0.29920091324200915,small,0.01583069670784398,True
age_group,t2m_pre_hf,60-69,<60,219,10,128.0,47.0,0.09602420294655406,0.31187214611872144,small,0.1440363044198311,False
age_group,t2m_pre_hf,80+,<60,40,10,50.0,47.0,0.8366386790056105,-0.045,negligible,0.8366386790056105,False
age_group,t2m_pre_lf,70-79,60-69,261,219,111.0,149.0,0.05071028776932687,-0.1035007610350076,negligible,0.060852345323192246,False
