bp_cat,n,median,mean,std,q1,q3,iqr,min,max
normal,369,31.0,118.7479674796748,267.99710799550706,15.0,84.0,69.0,1,2340
high,161,31.0,107.3975155279503,257.9514556923237,15.0,78.0,63.0,2,2230
