age_group,n,median,mean,std,q1,q3,iqr,min,max
<60,10,68.0,69.4,7.32120208708925,66.25,74.75,8.5,59.0,81.0
60-69,218,72.0,72.60091743119266,10.277773391282373,65.0,79.0,14.0,46.0,104.0
70-79,261,69.0,70.72030651340997,12.537724976964356,63.0,77.0,14.0,10.0,128.0
80+,40,68.0,68.975,9.27496630721643,60.75,76.0,15.25,56.0,90.0
