bmi_cat,n,median,mean,std,q1,q3,iqr,min,max
low,23,823.0,801.8347826086957,186.25102954857763,770.5,906.0,135.5,113.2,1030.0
normal,161,866.0,869.2173913043479,141.03872232706937,792.0,955.0,163.0,106.0,1296.0
overweight,162,843.0,827.6716049382716,183.96759722425048,761.75,938.25,176.5,68.0,1126.0
obesity,184,850.0,839.3576086956521,148.29053799092645,752.0,943.5,191.5,86.8,1187.0
