age_group,n,median,mean,std,q1,q3,iqr,min,max
<60,10,82.0,111.34,124.16562594642153,12.0,135.25,123.25,11.2,376.0
60-69,214,148.0,140.02990654205607,85.48904354470463,75.5,204.0,128.5,4.8,430.0
70-79,256,138.0,136.09140625,102.45378300164441,42.75,191.75,149.0,6.5,626.0
80+,39,106.0,118.58717948717948,91.28449507904044,40.25,170.0,129.75,6.4,334.0
