sex,n,median,mean,std,q1,q3,iqr,min,max
1,366,70.0,71.26775956284153,11.339802559567644,63.25,77.0,13.75,10.0,128.0
2,163,69.0,71.49693251533742,11.492549509841515,63.0,79.0,16.0,51.0,113.0
