analysis_level,grouping_variable,value_variable,p_value,p_adj_fdr,significant_fdr,global_effect
single_binary,sex,t2m_pre_mean_rr,0.7723418336646098,0.9010654726087115,False,
single_binary,sex,t2m_pre_mean_hr,0.9194841549599797,0.9194841549599797,False,
single_binary,sex,t2m_pre_sdnn,4.472664940788583e-13,3.130865458552008e-12,True,
single_binary,sex,t2m_pre_rmssd,0.009032589285880082,0.01746490771652381,True,
single_binary,sex,t2m_pre_hf,0.08861349842355921,0.1240588977929829,False,
single_binary,sex,t2m_pre_lf,0.009979947266585035,0.01746490771652381,True,
single_binary,sex,t2m_pre_vlf,6.335911281927145e-05,0.0002217568948674501,True,
single_binary,bp_cat,t2m_pre_mean_rr,0.10771827551674275,0.3770139643085996,False,
single_binary,bp_cat,t2m_pre_mean_hr,0.10741216002140141,0.3770139643085996,False,
single_binary,bp_cat,t2m_pre_sdnn,0.6795076860246295,0.7610748542269252,False,
single_binary,bp_cat,t2m_pre_rmssd,0.5547167147572529,0.7610748542269252,False,
single_binary,bp_cat,t2m_pre_hf,0.7610748542269252,0.7610748542269252,False,
single_binary,bp_cat,t2m_pre_lf,0.7325829876031553,0.7610748542269252,False,
single_binary,bp_cat,t2m_pre_vlf,0.7402263860338618,0.7610748542269252,False,
single_multigroup,age_group,t2m_pre_mean_rr,0.15633531122365835,0.1823911964276014,False,0.00422175805971809
single_multigroup,age_group,t2m_pre_mean_hr,0.044196798744771594,0.10312586373780039,False,0.009694379251091432
single_multigroup,age_group,t2m_pre_sdnn,0.13739808135549234,0.1823911964276014,False,0.004894814422830238
single_multigroup,age_group,t2m_pre_rmssd,0.21401873504550406,0.21401873504550406,False,0.0028584843755179593
single_multigroup,age_group,t2m_pre_hf,0.007994067732416479,0.027979237063457677,True,0.016784361690957032
single_multigroup,age_group,t2m_pre_lf,0.0002211781549445509,0.0015482470846118566,True,0.031264217095163506
single_multigroup,age_group,t2m_pre_vlf,0.06391182723438095,0.11184569766016667,False,0.008108524625891999
single_multigroup,bmi_cat,t2m_pre_mean_rr,0.1677336190113522,0.5330456790736682,False,0.0039089724777076765
single_multigroup,bmi_cat,t2m_pre_mean_hr,0.5981998084576305,0.6978997765339023,False,-0.0021379422626516555
single_multigroup,bmi_cat,t2m_pre_sdnn,0.06401479009660362,0.4481035306762253,False,0.00827469220875412
single_multigroup,bmi_cat,t2m_pre_rmssd,0.3990916200080453,0.5587282680112634,False,-9.274328920825968e-05
single_multigroup,bmi_cat,t2m_pre_hf,0.277168773735401,0.5330456790736682,False,0.001631891465516753
single_multigroup,bmi_cat,t2m_pre_lf,0.30459753089923897,0.5330456790736682,False,0.001192978819803899
single_multigroup,bmi_cat,t2m_pre_vlf,0.9361085703656112,0.9361085703656112,False,-0.004905196080279151
double_combination,sex__age_group,t2m_pre_mean_rr,0.555457415660372,0.555457415660372,False,-0.002092876193733196
double_combination,sex__age_group,t2m_pre_mean_hr,0.219806295534802,0.2564406781239357,False,0.004342254389487515
double_combination,sex__age_group,t2m_pre_sdnn,1.6226594544660163e-11,1.1358616181262115e-10,True,0.11015385981493422
