sex,n,median,mean,std,q1,q3,iqr,min,max
1,366,848.5,840.5262295081967,164.39631806193157,773.5,940.75,167.25,68.0,1296.0
2,164,857.0,849.2573170731708,151.39220549546891,760.75,950.25,189.5,106.0,1187.0
