bp_cat,n,median,mean,std,q1,q3,iqr,min,max
normal,361,140.0,135.77950138504156,90.73150757883656,68.0,199.0,131.0,4.8,610.0
high,158,134.5,136.2512658227848,105.47215513082887,38.0,194.75,156.75,6.4,626.0
