grouping_variable,value_variable,n_total,n_groups,h_stat,p_value,epsilon_squared,group_sizes,p_adj_fdr,significant_fdr
age_group,t2m_pre_mean_rr,530,4,5.220644739411715,0.15633531122365835,0.00422175805971809,"{'70-79': 261, '60-69': 219, '80+': 40, '<60': 10}",0.1823911964276014,False
age_group,t2m_pre_mean_hr,529,4,8.089549106823002,0.044196798744771594,0.009694379251091432,"{'70-79': 261, '60-69': 218, '80+': 40, '<60': 10}",0.10312586373780039,False
age_group,t2m_pre_sdnn,519,4,5.5208294277575725,0.13739808135549234,0.004894814422830238,"{'70-79': 256, '60-69': 214, '80+': 39, '<60': 10}",0.1823911964276014,False
age_group,t2m_pre_rmssd,522,4,4.480694906518303,0.21401873504550406,0.0028584843755179593,"{'70-79': 255, '60-69': 217, '80+': 40, '<60': 10}",0.21401873504550406,False
age_group,t2m_pre_hf,530,4,11.828574249443399,0.007994067732416479,0.016784361690957032,"{'70-79': 261, '60-69': 219, '80+': 40, '<60': 10}",0.027979237063457677,True
age_group,t2m_pre_lf,530,4,19.444978192056006,0.0002211781549445509,0.031264217095163506,"{'70-79': 261, '60-69': 219, '80+': 40, '<60': 10}",0.0015482470846118566,True
age_group,t2m_pre_vlf,530,4,7.265083953219191,0.06391182723438095,0.008108524625891999,"{'70-79': 261, '60-69': 219, '80+': 40, '<60': 10}",0.11184569766016667,False
bmi_cat,t2m_pre_mean_rr,530,4,5.056119523274238,0.1677336190113522,0.0039089724777076765,"{'normal': 161, 'overweight': 162, 'obesity': 184, 'low': 23}",0.5330456790736682,False
bmi_cat,t2m_pre_mean_hr,529,4,1.877580312107881,0.5981998084576305,-0.0021379422626516555,"{'normal': 160, 'overweight': 162, 'obesity': 184, 'low': 23}",0.6978997765339023,False
bmi_cat,t2m_pre_sdnn,519,4,7.261466487508372,0.06401479009660362,0.00827469220875412,"{'normal': 153, 'overweight': 160, 'obesity': 183, 'low': 23}",0.4481035306762253,False
bmi_cat,t2m_pre_rmssd,522,4,2.9519589761901215,0.3990916200080453,-9.274328920825968e-05,"{'normal': 157, 'overweight': 158, 'obesity': 184, 'low': 23}",0.5587282680112634,False
bmi_cat,t2m_pre_hf,530,4,3.858374910861812,0.277168773735401,0.001631891465516753,"{'normal': 161, 'overweight': 162, 'obesity': 184, 'low': 23}",0.5330456790736682,False
bmi_cat,t2m_pre_lf,530,4,3.627506859216851,0.30459753089923897,0.001192978819803899,"{'normal': 161, 'overweight': 162, 'obesity': 184, 'low': 23}",0.5330456790736682,False
bmi_cat,t2m_pre_vlf,530,4,0.41986686177316646,0.9361085703656112,-0.004905196080279151,"{'normal': 161, 'overweight': 162, 'obesity': 184, 'low': 23}",0.9361085703656112,False
