bp_cat,n,median,mean,std,q1,q3,iqr,min,max
normal,368,69.5,70.82065217391305,10.515353125056121,63.0,77.0,14.0,46.0,128.0
high,161,72.0,72.52173913043478,13.09441052344556,63.0,81.0,18.0,10.0,115.0
