sex,n,median,mean,std,q1,q3,iqr,min,max
1,366,111.0,455.09289617486337,1330.4671904152005,40.0,276.25,236.25,1,13160
2,164,76.0,373.3170731707317,884.1815858532306,25.0,276.25,251.25,3,6340
