sex,n,median,mean,std,q1,q3,iqr,min,max
1,366,129.0,494.08196721311475,1204.6736698364482,63.0,293.75,230.75,7,9860
2,164,98.5,361.219512195122,1046.310315667466,39.0,213.0,174.0,7,10220
