cluster,variable,n,mean,std,median,q1,q3,min,max,iqr
0,t2m_pre_mean_rr,133,851.4135338345865,168.18082475552228,843.0,768.0,958.0,92.0,1203.0,190.0
1,t2m_pre_mean_rr,109,845.5247706422018,137.8865684888229,879.0,761.0,950.0,113.2,1079.0,189.0
2,t2m_pre_mean_rr,107,804.1495327102804,157.88972768445117,808.0,739.0,888.0,68.0,1139.0,149.0
3,t2m_pre_mean_rr,70,832.2142857142857,176.6815601753736,852.0,755.25,948.75,105.0,1097.0,193.5
4,t2m_pre_mean_rr,69,873.504347826087,145.0839457153955,881.0,798.0,963.0,86.8,1187.0,165.0
5,t2m_pre_mean_rr,42,879.5190476190477,177.68057971772532,878.0,807.5,960.25,85.8,1296.0,152.75
0,t2m_pre_mean_hr,133,70.65413533834587,10.766843824967545,71.0,62.0,77.0,50.0,104.0,15.0
1,t2m_pre_mean_hr,108,72.0,11.219142519751886,68.0,63.0,79.0,53.0,101.0,16.0
2,t2m_pre_mean_hr,107,75.09345794392523,12.27939884697235,74.0,67.0,81.0,53.0,128.0,14.0
3,t2m_pre_mean_hr,70,70.3,13.478216456214808,69.5,62.0,77.0,10.0,115.0,15.0
4,t2m_pre_mean_hr,69,68.82608695652173,8.399853853313953,68.0,62.0,75.0,51.0,87.0,13.0
5,t2m_pre_mean_hr,42,68.0952380952381,9.476053320201082,68.0,62.25,72.75,46.0,90.0,10.5
0,t2m_pre_sdnn,130,157.7246153846154,75.08734661674991,160.0,109.75,202.75,6.8,339.0,93.0
1,t2m_pre_sdnn,109,18.809174311926604,21.056223419271966,14.1,9.9,18.1,4.8,135.0,8.200000000000001
2,t2m_pre_sdnn,106,123.05660377358491,42.27277187137282,120.5,91.25,150.75,34.0,258.0,59.5
3,t2m_pre_sdnn,67,207.56567164179103,105.95928256308876,205.0,152.0,276.0,17.0,626.0,124.0
4,t2m_pre_sdnn,68,174.70294117647057,58.068724005597694,179.0,144.0,219.0,18.8,274.0,75.0
5,t2m_pre_sdnn,39,234.84615384615384,99.76829431541509,209.0,191.0,251.5,61.0,610.0,60.5
0,t2m_pre_rmssd,132,15.806818181818182,7.608474515646315,15.1,11.5,19.924999999999997,1.2,70.0,8.424999999999997
1,t2m_pre_rmssd,109,11.873394495412844,5.122691751229774,11.6,7.0,15.3,3.3,23.8,8.3
2,t2m_pre_rmssd,107,12.085046728971962,8.203252964276366,11.1,7.45,14.350000000000001,2.9,70.0,6.900000000000001
3,t2m_pre_rmssd,64,16.3421875,9.290203146539273,14.1,11.9,19.35,0.5,59.4,7.450000000000001
4,t2m_pre_rmssd,69,16.094202898550726,6.966281902597832,15.3,12.1,20.7,0.5,35.9,8.6
5,t2m_pre_rmssd,41,24.0609756097561,15.263205398093488,21.7,16.5,24.9,3.9,71.6,8.399999999999999
0,t2m_pre_hf,133,214.04511278195488,390.9609541199591,94.0,50.0,195.0,3.0,3110.0,145.0
1,t2m_pre_hf,109,143.75229357798165,246.09600490245683,45.0,16.0,147.0,3.0,1582.0,131.0
2,t2m_pre_hf,107,78.1588785046729,114.47914447393944,37.0,17.5,85.5,1.0,740.0,68.0
3,t2m_pre_hf,70,1915.4285714285713,2668.0522047530826,897.0,400.0,1862.5,70.0,13160.0,1462.5
4,t2m_pre_hf,69,261.69565217391306,425.5781294257545,149.0,68.0,256.0,13.0,2470.0,188.0
5,t2m_pre_hf,42,551.2142857142857,1182.0219455623235,194.0,91.75,326.75,32.0,5740.0,235.0
0,t2m_pre_lf,133,165.42105263157896,177.8793517973721,106.0,63.0,189.0,12.0,1034.0,126.0
1,t2m_pre_lf,109,114.0,161.5148771957418,77.0,36.0,111.0,7.0,1220.0,75.0
2,t2m_pre_lf,107,74.05607476635514,65.94291868024821,56.0,24.0,98.5,9.0,319.0,74.5
3,t2m_pre_lf,70,2454.8571428571427,2333.0086769110917,1565.0,865.0,3337.5,170.0,10220.0,2472.5
4,t2m_pre_lf,69,192.4927536231884,116.79905106237277,161.0,116.0,249.0,33.0,690.0,133.0
5,t2m_pre_lf,42,300.0238095238095,165.7801200378613,265.5,181.0,371.5,69.0,719.0,190.5
0,t2m_pre_vlf,133,40.56390977443609,41.51165469487996,28.0,15.0,50.0,2.0,287.0,35.0
1,t2m_pre_vlf,109,77.5045871559633,199.3202626638667,19.0,8.0,49.0,1.0,1582.0,41.0
2,t2m_pre_vlf,107,21.55140186915888,21.77380876227728,16.0,7.0,27.0,2.0,123.0,20.0
3,t2m_pre_vlf,70,546.8,497.12881717877235,345.0,220.0,730.25,40.0,2340.0,510.25
4,t2m_pre_vlf,69,58.04347826086956,51.73673026305413,41.0,26.0,71.0,4.0,250.0,45.0
5,t2m_pre_vlf,42,63.785714285714285,43.718911303632815,52.0,29.25,90.0,7.0,208.0,60.75
0,age,133,71.0375939849624,5.718664305584263,71.0,66.0,75.0,60.0,88.0,9.0
1,age,109,70.68807339449542,7.371990594669579,71.0,66.0,75.0,50.0,89.0,9.0
2,age,107,72.69158878504673,6.310236091258411,72.0,69.0,77.0,57.0,89.0,8.0
3,age,70,70.57142857142857,5.804973950612336,71.0,66.0,75.0,57.0,88.0,9.0
4,age,69,68.5072463768116,4.939704648249246,68.0,66.0,71.0,55.0,79.0,5.0
5,age,42,70.45238095238095,6.0332508769334785,69.0,66.0,75.75,61.0,86.0,9.75
0,weight_kg,133,79.60601503759399,14.736816190209286,77.0,69.0,87.6,48.0,120.0,18.599999999999994
1,weight_kg,109,72.20091743119266,11.317476614877735,70.5,65.2,80.2,48.7,111.0,15.0
2,weight_kg,107,70.80747663551402,9.997770515003594,70.0,63.0,77.0,49.0,95.0,14.0
3,weight_kg,70,75.23714285714286,13.964553173718627,73.4,63.775000000000006,81.9,55.4,116.0,18.125
4,weight_kg,69,86.11304347826088,13.502057719468047,85.0,76.7,92.0,57.0,120.0,15.299999999999997
5,weight_kg,42,60.2047619047619,6.728133593296513,61.0,56.25,64.75,47.0,70.0,8.5
0,height_m_final,133,1.5863157894736841,0.08367934544954583,1.59,1.5,1.65,1.45,1.8,0.1499999999999999
1,height_m_final,109,1.5727522935779816,0.09378730427816373,1.57,1.5,1.62,1.38,1.8,0.1200000000000001
2,height_m_final,107,1.5709345794392524,0.09389408635989381,1.56,1.5,1.625,1.3,1.8,0.125
3,height_m_final,70,1.539857142857143,0.0869198007351281,1.5,1.5,1.6,1.3,1.7,0.10000000000000009
4,height_m_final,69,1.5355072463768116,0.08101445462682896,1.51,1.5,1.6,1.3,1.7,0.10000000000000009
5,height_m_final,42,1.5509523809523809,0.07190133903599023,1.5550000000000002,1.5,1.6,1.4,1.7,0.10000000000000009
0,imc_final,133,31.662140470692858,5.654436419570921,30.2734375,27.68877813377636,34.306703397612495,22.826880934989045,57.07491082045184,6.617925263836135
1,imc_final,109,29.255311968068415,4.2867459360241735,28.71454076572109,26.328125,32.1262618170165,19.0234375,40.79084287200832,5.798136817016498
2,imc_final,107,28.676937674056024,3.0843876921560964,28.303850156087407,26.5625,30.697142713933957,19.921875,38.46153846153846,4.134642713933957
3,imc_final,70,31.808060403317416,5.668172168879836,30.77777777777778,27.85533854166667,35.04625850340137,22.34375,45.31249999999999,7.1909199617347
4,imc_final,69,36.58264497181667,5.212119908989171,36.48484302508896,33.333333333333336,40.44444444444444,22.265625,47.66600920447074,7.111111111111107
5,imc_final,42,25.125739684595022,3.1841946237615626,25.404790015179625,23.828125,26.39624045248152,18.359375,31.50109569028488,2.5681154524815213
0,bp_systolic,133,148.3233082706767,14.055921254253118,147.0,138.0,159.0,119.0,203.0,21.0
1,bp_systolic,109,126.03669724770643,15.591383307303754,128.0,117.0,137.0,90.0,170.0,20.0
2,bp_systolic,107,120.06542056074767,13.251038427117015,121.0,113.0,127.5,80.0,154.0,14.5
3,bp_systolic,70,130.72857142857143,15.132191837723461,128.0,120.0,138.0,99.0,167.0,18.0
4,bp_systolic,69,120.72463768115942,7.632908739312746,121.0,117.0,127.0,105.0,135.0,10.0
5,bp_systolic,42,124.83333333333333,9.832540962976855,124.0,119.0,132.0,98.0,143.0,13.0
0,bp_diastolic,133,84.74436090225564,9.385396566861077,84.0,78.0,89.0,61.0,115.0,11.0
1,bp_diastolic,109,76.4954128440367,9.306134827619548,77.0,71.0,84.0,53.0,93.0,13.0
2,bp_diastolic,107,71.93457943925233,7.802117550053715,71.0,67.0,76.0,54.0,93.0,9.0
3,bp_diastolic,70,78.44285714285714,10.15907635064018,77.0,73.0,84.0,53.0,98.0,11.0
4,bp_diastolic,69,74.21739130434783,7.868159148666656,75.0,70.0,79.0,52.0,92.0,9.0
5,bp_diastolic,42,74.88095238095238,10.090329543199275,73.5,70.0,80.75,55.0,98.0,10.75
0,bp_pam,133,105.93734335839599,8.988596439531625,105.0,99.33333333333331,111.0,91.33333333333331,135.66666666666666,11.666666666666686
1,bp_pam,109,93.0091743119266,10.002618866500404,94.0,87.33333333333333,101.0,66.0,110.66666666666669,13.666666666666671
2,bp_pam,107,87.97819314641744,7.901419747174727,88.0,83.33333333333333,91.83333333333334,68.66666666666667,112.66666666666669,8.500000000000014
3,bp_pam,70,95.87142857142857,10.337196232486361,94.0,89.41666666666666,101.66666666666669,69.66666666666667,121.0,12.250000000000028
4,bp_pam,69,89.71980676328504,6.501539080835153,90.33333333333331,84.66666666666667,94.33333333333331,72.33333333333333,103.33333333333331,9.666666666666643
5,bp_pam,42,91.53174603174604,8.878908208172742,90.66666666666669,86.66666666666667,98.16666666666666,69.33333333333333,109.33333333333331,11.499999999999986
0,bp_pp,133,63.578947368421055,14.036861929326172,63.0,54.0,72.0,37.0,101.0,18.0
1,bp_pp,109,49.54128440366973,13.198998355719711,48.0,39.0,60.0,21.0,94.0,21.0
2,bp_pp,107,48.13084112149533,12.847497452627659,48.0,40.5,55.5,16.0,83.0,15.0
3,bp_pp,70,52.285714285714285,13.123872326593265,48.5,44.0,60.75,25.0,84.0,16.75
4,bp_pp,69,46.507246376811594,9.104981164831438,47.0,40.0,52.0,16.0,67.0,12.0
5,bp_pp,42,49.95238095238095,9.782892935773093,49.5,44.25,56.0,33.0,70.0,11.75
