cluster,t2m_pre_mean_rr,t2m_pre_mean_hr,t2m_pre_sdnn,t2m_pre_rmssd,t2m_pre_hf,t2m_pre_lf,t2m_pre_vlf,age,weight_kg,height_m_final,imc_final,bp_systolic,bp_diastolic,bp_pam,bp_pp
0,843.0,71.0,160.0,15.1,94.0,106.0,28.0,71.0,77.0,1.59,30.2734375,147.0,84.0,105.0,63.0
1,879.0,68.0,14.1,11.6,45.0,77.0,19.0,71.0,70.5,1.57,28.71454076572109,128.0,77.0,94.0,48.0
2,808.0,74.0,120.5,11.1,37.0,56.0,16.0,72.0,70.0,1.56,28.303850156087407,121.0,71.0,88.0,48.0
3,852.0,69.5,205.0,14.1,897.0,1565.0,345.0,71.0,73.4,1.5,30.77777777777778,128.0,77.0,94.0,48.5
4,881.0,68.0,179.0,15.3,149.0,161.0,41.0,68.0,85.0,1.51,36.48484302508896,121.0,75.0,90.33333333333331,47.0
5,878.0,68.0,209.0,21.7,194.0,265.5,52.0,69.0,61.0,1.5550000000000002,25.404790015179625,124.0,73.5,90.66666666666669,49.5
