,count,mean,std,min,25%,50%,75%,max
t2m_pre_mean_rr,530.0,843.2279245283019,160.3933773995756,68.0,768.0,850.5,944.5,1296.0
t2m_pre_mean_hr,529.0,71.33837429111531,11.376679946033875,10.0,63.0,70.0,77.0,128.0
t2m_pre_sdnn,519.0,135.92312138728326,95.35693707814545,4.8,61.0,140.0,197.0,626.0
t2m_pre_rmssd,522.0,14.974521072796932,8.895968498614744,0.5,9.95,13.7,18.175,71.6
t2m_pre_hf,530.0,429.788679245283,1209.8283653459303,1.0,36.25,98.0,276.25,13160.0
t2m_pre_lf,530.0,452.96981132075473,1158.634907875879,7.0,55.25,116.0,270.0,10220.0
t2m_pre_vlf,530.0,115.3,264.79415731222593,1.0,15.0,31.0,82.75,2340.0
sex,530.0,1.3094339622641509,0.4626970130404132,1.0,1.0,1.0,2.0,2.0
age,530.0,70.8622641509434,6.24710825851517,50.0,66.0,71.0,75.0,89.0
weight_kg,530.0,75.03943396226414,14.02661161248107,47.0,65.125,72.95,82.275,120.0
height_cm_final,530.0,156.4867924528302,8.880258637726202,130.0,150.0,156.0,160.0,180.0
height_m_final,530.0,1.5648679245283021,0.088802586377262,1.3,1.5,1.56,1.6,1.8
imc_final,530.0,30.70636569110597,5.544216631439347,18.359375,26.666666666666668,29.742699724517905,33.627220311557494,57.07491082045184
bp_systolic,530.0,130.2566037735849,17.318166968775817,80.0,119.0,128.5,140.0,203.0
bp_diastolic,530.0,77.47735849056603,10.144162028230054,52.0,70.25,77.0,84.0,115.0
bp_pam,530.0,95.07044025157234,11.141434141583748,66.0,87.66666666666667,94.33333333333331,102.0,135.66666666666666
bp_pp,530.0,52.77924528301887,14.14208026465464,16.0,43.0,51.0,61.0,101.0
n_total_qc_flags,530.0,0.08679245283018867,0.38889973042032877,0.0,0.0,0.0,0.0,2.0
