,t2m_pre_mean_rr,t2m_pre_mean_hr,t2m_pre_sdnn,t2m_pre_rmssd,t2m_pre_hf,t2m_pre_lf,t2m_pre_vlf,age,imc_final,bp_systolic,bp_diastolic,bp_pam,bp_pp
t2m_pre_mean_rr,1.0,-0.6200913847840002,0.05787556352377395,0.20726638641858977,0.1223822323127615,0.04861364760337236,0.07504002002925755,0.03109494460767636,-0.019638377405444732,0.039863389085497976,-0.12636626274452406,-0.05604900399816457,0.13945902126121482
t2m_pre_mean_hr,-0.6200913847840002,1.0,-0.17327537475290053,-0.3449936976251594,-0.16047458173526133,-0.04482649817077241,-0.038372377959437674,-0.1106281472329693,0.009850475578820645,-0.0318490063844234,0.1846424889749624,0.09563718089602812,-0.1715184718646671
t2m_pre_sdnn,0.05787556352377395,-0.17327537475290053,1.0,0.5496536819845442,0.31287520845573563,0.32662458055384563,0.230503818719575,0.016298916592737127,0.03235158762006812,0.05481870320575953,-0.02748011708031649,0.011634979749574231,0.08718118081824942
t2m_pre_rmssd,0.20726638641858977,-0.3449936976251594,0.5496536819845442,1.0,0.25055462966091324,0.09182177078745199,0.060263942533201775,-0.010354287039515242,-0.07370369059446133,0.036288838489940536,-0.05356428859168326,-0.013734705901677281,0.08277764682116476
t2m_pre_hf,0.1223822323127615,-0.16047458173526133,0.31287520845573563,0.25055462966091324,1.0,0.47057195491377996,0.39241033047848156,-0.002706862370910288,-0.02649479383424758,-0.033051610262895326,-0.06436245879176684,-0.05619263798806547,0.005692932290904351
t2m_pre_lf,0.04861364760337236,-0.04482649817077241,0.32662458055384563,0.09182177078745199,0.47057195491377996,1.0,0.7632479617569671,-0.02950254846498196,-0.02787758469158037,0.010271886119794,0.02201235192051716,0.018683530324111644,-0.003210745855460623
t2m_pre_vlf,0.07504002002925755,-0.038372377959437674,0.230503818719575,0.060263942533201775,0.39241033047848156,0.7632479617569671,1.0,0.004255542261785076,0.04201485904474629,0.0014230820985950822,0.01729829892982497,0.011237292642176565,-0.010665444612145015
age,0.03109494460767636,-0.1106281472329693,0.016298916592737127,-0.010354287039515242,-0.002706862370910288,-0.02950254846498196,0.004255542261785076,1.0,-0.09862649416063904,0.059665049799975965,-0.15896711541615008,-0.06557764555242036,0.18709252253297878
imc_final,-0.019638377405444732,0.009850475578820645,0.03235158762006812,-0.07370369059446133,-0.02649479383424758,-0.02787758469158037,0.04201485904474629,-0.09862649416063904,1.0,0.08042553686543547,0.09305558667858971,0.098155070885154,0.0317387483799848
bp_systolic,0.039863389085497976,-0.0318490063844234,0.05481870320575953,0.036288838489940536,-0.033051610262895326,0.010271886119794,0.0014230820985950822,0.059665049799975965,0.08042553686543547,1.0,0.5772611236305591,0.8685245645902189,0.8105127664080058
bp_diastolic,-0.12636626274452406,0.1846424889749624,-0.02748011708031649,-0.05356428859168326,-0.06436245879176684,0.02201235192051716,0.01729829892982497,-0.15896711541615008,0.09305558667858971,0.5772611236305591,1.0,0.9060900716853971,-0.010398576578612513
bp_pam,-0.05604900399816457,0.09563718089602812,0.011634979749574231,-0.013734705901677281,-0.05619263798806547,0.018683530324111644,0.011237292642176565,-0.06557764555242036,0.098155070885154,0.8685245645902189,0.9060900716853971,1.0,0.41363991840222575
bp_pp,0.13945902126121482,-0.1715184718646671,0.08718118081824942,0.08277764682116476,0.005692932290904351,-0.003210745855460623,-0.010665444612145015,0.18709252253297878,0.0317387483799848,0.8105127664080058,-0.010398576578612513,0.41363991840222575,1.0
