variable,cluster_1,cluster_2,test,statistic,p_value,effect_size,median_1,median_2,median_diff,mean_1,mean_2,n_1,n_2,p_adj_fdr
t2m_pre_mean_rr,0,1,mannwhitneyu,7492.5,0.6531198223187173,0.0336621369938608,843.0,879.0,-36.0,851.4135338345865,845.5247706422018,133,109,0.720623174607904
t2m_pre_mean_rr,0,2,mannwhitneyu,8640.5,0.004349081672716415,0.2143208488510997,843.0,808.0,35.0,851.4135338345865,804.1495327102804,133,107,0.021745408363582075
t2m_pre_mean_rr,0,3,mannwhitneyu,4870.5,0.5888919528538706,0.046294307196562835,843.0,852.0,-9.0,851.4135338345865,832.2142857142857,133,70,0.720623174607904
t2m_pre_mean_rr,0,4,mannwhitneyu,4197.0,0.3210104267423446,-0.08532200065380843,843.0,881.0,-38.0,851.4135338345865,873.504347826087,133,69,0.4377414910122881
t2m_pre_mean_rr,0,5,mannwhitneyu,2444.0,0.22338046551439394,-0.12495524525599713,843.0,878.0,-35.0,851.4135338345865,879.5190476190477,133,42,0.3350706982715909
t2m_pre_mean_rr,1,2,mannwhitneyu,6911.0,0.01879417726776495,0.18511532195832975,879.0,808.0,71.0,845.5247706422018,804.1495327102804,109,107,0.07047816475411857
t2m_pre_mean_rr,1,3,mannwhitneyu,3899.5,0.8038946082474434,0.022149410222804717,879.0,852.0,27.0,845.5247706422018,832.2142857142857,109,70,0.8038946082474434
t2m_pre_mean_rr,1,4,mannwhitneyu,3326.0,0.1950401058180914,-0.11554314585826353,879.0,881.0,-2.0,845.5247706422018,873.504347826087,109,69,0.3250668430301523
t2m_pre_mean_rr,1,5,mannwhitneyu,1947.5,0.15672735174511215,-0.1491917868064657,879.0,878.0,1.0,845.5247706422018,879.5190476190477,109,42,0.3250668430301523
t2m_pre_mean_rr,2,3,mannwhitneyu,3137.0,0.06836203132317968,-0.1623497997329773,808.0,852.0,-44.0,804.1495327102804,832.2142857142857,107,70,0.20508609396953906
t2m_pre_mean_rr,2,4,mannwhitneyu,2511.5,0.00035113447767513,-0.31965325748340784,808.0,881.0,-73.0,804.1495327102804,873.504347826087,107,69,0.00526701716512695
t2m_pre_mean_rr,2,5,mannwhitneyu,1476.0,0.0011502166461964663,-0.3431241655540721,808.0,878.0,-70.0,804.1495327102804,879.5190476190477,107,42,0.008626624846473497
t2m_pre_mean_rr,3,4,mannwhitneyu,2095.0,0.17831445036709836,-0.13250517598343686,852.0,881.0,-29.0,832.2142857142857,873.504347826087,70,69,0.3250668430301523
t2m_pre_mean_rr,3,5,mannwhitneyu,1221.5,0.13608258329237596,-0.16904761904761906,852.0,878.0,-26.0,832.2142857142857,879.5190476190477,70,42,0.3250668430301523
t2m_pre_mean_rr,4,5,mannwhitneyu,1379.0,0.6725816296340438,-0.04830917874396135,881.0,878.0,3.0,873.504347826087,879.5190476190477,69,42,0.720623174607904
t2m_pre_mean_hr,0,1,mannwhitneyu,6840.5,0.526080874194092,-0.047549429128376494,71.0,68.0,3.0,70.65413533834587,72.0,133,108,0.6576010927426149
t2m_pre_mean_hr,0,2,mannwhitneyu,5542.0,0.0032409625466169453,-0.2211369545358724,71.0,74.0,-3.0,70.65413533834587,75.09345794392523,133,107,0.016204812733084724
t2m_pre_mean_hr,0,3,mannwhitneyu,4684.5,0.9418556270714656,0.0063372717508055855,71.0,69.5,1.5,70.65413533834587,70.3,133,70,0.9418556270714656
t2m_pre_mean_hr,0,4,mannwhitneyu,4955.5,0.35198833054560374,0.07998256510842323,71.0,68.0,3.0,70.65413533834587,68.82608695652173,133,69,0.5279824958184056
t2m_pre_mean_hr,0,5,mannwhitneyu,3154.0,0.20761385907135044,0.1292517006802721,71.0,68.0,3.0,70.65413533834587,68.0952380952381,133,42,0.3892759857587821
t2m_pre_mean_hr,1,2,mannwhitneyu,4779.5,0.028545654978825157,-0.17281066112841814,68.0,74.0,-6.0,72.0,75.09345794392523,108,107,0.08563696493647548
t2m_pre_mean_hr,1,3,mannwhitneyu,3966.0,0.5803388513584424,0.049206349206349205,68.0,69.5,-1.5,72.0,70.3,108,70,0.664167396623454
t2m_pre_mean_hr,1,4,mannwhitneyu,4197.0,0.15657726793886934,0.12640901771336555,68.0,68.0,0.0,72.0,68.82608695652173,108,69,0.33552271701186287
t2m_pre_mean_hr,1,5,mannwhitneyu,2641.0,0.11860220684385887,0.1644620811287478,68.0,68.0,0.0,72.0,68.0952380952381,108,42,0.2965055171096472
