variable,cluster_1,cluster_2,test,statistic,p_value,effect_size,n_total,p_adj_fdr
sex,0,1,chi2,22.26235954365266,2.3782303703417517e-06,0.29700144726357464,242,1.1891151851708759e-05
sex,0,2,chi2,0.0,1.0,0.0,240,1.0
sex,0,3,chi2,0.1402584808404304,0.7080241824916389,0.0,203,0.8850302281145486
sex,0,4,chi2,2.9126028002907702,0.08788992768238839,0.09742135224237951,202,0.21972481920597095
sex,0,5,chi2,2.4665933354351344,0.1162897253547255,0.09162939037973188,175,0.23135561238540994
sex,1,2,chi2,20.738570258531738,5.264485976558727e-06,0.30296477663921584,216,1.9741822412095225e-05
sex,1,3,chi2,19.029593021374367,1.2870682718494531e-05,0.31821609441515675,179,3.86120481554836e-05
sex,1,4,chi2,29.976395791890585,4.373377299870462e-08,0.4045760201767247,178,6.560065949805693e-07
sex,1,5,chi2,22.313374360390892,2.3158804031764995e-06,0.37689657910006563,151,1.1891151851708759e-05
sex,2,3,chi2,0.058848378211550416,0.808325471678759,0.0,177,0.9326832365524143
sex,2,4,chi2,2.3737584753527585,0.1233896599388853,0.08841747926506201,176,0.23135561238540994
sex,2,5,chi2,2.089883991799705,0.14827732944565686,0.08554975974714081,149,0.2471288824094281
sex,3,4,chi2,1.0298603450389172,0.3101914708580839,0.012801481953565202,139,0.4229883693519326
sex,3,5,chi2,1.0541605601693536,0.3045508146357623,0.020169376497033296,112,0.4229883693519326
sex,4,5,chi2,0.0,1.0,0.0,111,1.0
age_group,0,1,chi2,10.520639019696365,0.014621542402354531,0.17650738068537603,242,0.0438646272070636
age_group,0,2,chi2,12.075878456413582,0.007127701700765752,0.19473708084546273,240,0.02672888137787157
age_group,0,3,chi2,2.147142497626374,0.542434543235842,0.0,203,0.5811798677526878
age_group,0,4,chi2,15.80524588868561,0.0012431458422534748,0.2522598075115957,202,0.006215729211267374
age_group,0,5,chi2,1.7688134810710987,0.41295909251160323,0.0,175,0.516198865639504
age_group,1,2,chi2,2.447891988312284,0.4847818101908087,0.0,216,0.5593636271432407
age_group,1,3,chi2,4.769737662649157,0.18945570139224735,0.09923694988925864,179,0.25834868371670094
age_group,1,4,chi2,18.989013658694113,0.0002748326357364759,0.300400620825747,178,0.0020612447680235695
age_group,1,5,chi2,4.779769122333032,0.1886523133005655,0.10831581410456693,151,0.25834868371670094
age_group,2,3,chi2,7.509945008738308,0.05730347202057989,0.1597769148512536,177,0.1074440100385873
age_group,2,4,chi2,26.403069580935853,7.852639139075439e-06,0.3655656311668693,176,0.00011778958708613159
age_group,2,5,chi2,6.810901039442603,0.07817556853492495,0.16004230508338846,149,0.13029261422487493
age_group,3,4,chi2,8.06264834249542,0.04473454247103068,0.19112887229822742,139,0.1074440100385873
age_group,3,5,chi2,1.4676342525399129,0.6897602179383711,0.0,112,0.6897602179383711
age_group,4,5,chi2,7.632228217169892,0.054256531163821765,0.20461351808595163,111,0.1074440100385873
bmi_cat,0,1,chi2,8.773571482255061,0.032457895732001876,0.15461399589842062,242,0.03759850285610917
bmi_cat,0,2,chi2,13.405277094994762,0.00383731984950432,0.20853049042283958,240,0.00575597977425648
bmi_cat,0,3,chi2,0.05343556262775111,0.996766945742906,0.0,203,0.996766945742906
bmi_cat,0,4,chi2,36.86787911592086,4.907270221200916e-08,0.4103983726994525,202,1.226817555300229e-07
bmi_cat,0,5,chi2,51.92065130145625,3.1140047279488e-11,0.5301540939991807,175,1.1677517729808e-10
bmi_cat,1,2,chi2,8.76491691451822,0.03258536914196128,0.16355196658316917,216,0.03759850285610917
bmi_cat,1,3,chi2,6.266859940618044,0.09932462797742685,0.13512600417765205,179,0.10641924426152877
bmi_cat,1,4,chi2,53.71545419626487,1.2903203617468807e-11,0.5352021813258089,178,6.451601808734403e-11
bmi_cat,1,5,chi2,29.630608451331597,1.6503785525575332e-06,0.4212029692646768,151,3.094459786045375e-06
bmi_cat,2,3,chi2,11.456838455580085,0.009495490035615301,0.21898611247162425,177,0.012948395503111776
bmi_cat,2,4,chi2,73.53105543991943,7.479970747609184e-16,0.634783270789858,176,5.609978060706888e-15
bmi_cat,2,5,chi2,29.97064504024084,1.3998185126541669e-06,0.42673814057633386,149,2.9996110985446433e-06
bmi_cat,3,4,chi2,27.86071562425812,3.88492672688567e-06,0.4242664672010787,139,6.4748778781427835e-06
bmi_cat,3,5,chi2,41.15613304458881,6.059109061122486e-09,0.5861171739117793,112,1.817732718336746e-08
bmi_cat,4,5,chi2,81.12375291397532,1.7618656666078422e-17,0.8426308097787172,111,2.6427984999117635e-16
bp_cat,0,1,chi2,53.70421505167657,2.3306270384182663e-13,0.4676283104117939,242,1.1653135192091331e-12
bp_cat,0,2,chi2,100.59032762145684,1.1311879414541032e-23,0.6455119825104481,240,1.6967819121811547e-22
bp_cat,0,3,chi2,30.879703855226303,2.745278656602138e-08,0.384575666444494,203,8.235835969806415e-08
bp_cat,0,4,chi2,86.38465310638779,1.4813000667181095e-20,0.6517553463870911,202,1.110975050038582e-19
bp_cat,0,5,chi2,46.41759115927073,9.555379636765405e-12,0.5108779012144052,175,3.5832673637870267e-11
bp_cat,1,2,chi2,10.653902379918115,0.0010983890850187448,0.21185185660868328,216,0.0018306484750312414
bp_cat,1,3,chi2,0.6450301061043432,0.42189517076241223,0.0,179,0.45203054010258453
bp_cat,1,4,chi2,13.261093361945345,0.0002709715599843299,0.2631387557129926,178,0.0005080716749706186
bp_cat,1,5,chi2,2.2839422322828216,0.13071923431718405,0.09227973182818268,151,0.17008620266478663
bp_cat,2,3,chi2,15.586776450232964,7.880378501413463e-05,0.28783641749471267,177,0.00016886525360171705
bp_cat,2,4,chi2,0.8975356933626423,0.3434433428122189,0.0,176,0.3962807801679449
bp_cat,2,5,chi2,0.29067631276090605,0.5897874588278686,0.0,149,0.5897874588278686
bp_cat,3,4,chi2,17.852787735919826,2.386693685926102e-05,0.3493931173731497,139,5.9667342148152546e-05
bp_cat,3,5,chi2,4.4539724037763255,0.03482015995650243,0.17617668799011568,112,0.05223023993475365
bp_cat,4,5,chi2,2.221860922462631,0.1360689621318293,0.10500520552388706,111,0.17008620266478663
