variable,type,test,statistic,p_value,effect_size,p_adj_fdr
t2m_pre_mean_rr,continuous,kruskal,17.532463133904503,0.003593209860407296,0.02391691437768035,0.003593209860407296
t2m_pre_mean_hr,continuous,kruskal,18.490649941293054,0.0023903640842649464,0.025794741761554597,0.002561104375998157
t2m_pre_sdnn,continuous,kruskal,289.9613689322598,1.440466864360895e-60,0.5554802513299412,2.1607002965413424e-59
t2m_pre_rmssd,continuous,kruskal,83.59737390316396,1.4813531641545784e-16,0.15232049206039527,2.0200270420289706e-16
t2m_pre_hf,continuous,kruskal,193.84953960145924,5.872552140900187e-40,0.36039988473560924,1.4681380352250468e-39
t2m_pre_lf,continuous,kruskal,270.17807070722296,2.5626226260688616e-56,0.5060650204336316,1.9219669695516462e-55
t2m_pre_vlf,continuous,kruskal,219.7387101677108,1.690206038112754e-45,0.4098066987933412,8.45103019056377e-45
age,continuous,kruskal,19.613050241821288,0.0014768220055916346,0.027887500461491008,0.001846027506989543
weight_kg,continuous,kruskal,126.03301404648423,1.652418424571327e-25,0.2309790344398554,3.0982845460712384e-25
height_m_final,continuous,kruskal,18.686186853362088,0.002198684399602502,0.026118677201072686,0.002536943538002887
imc_final,continuous,kruskal,143.6137537238682,3.050159878736656e-29,0.2645300643585271,6.53605688300712e-29
bp_systolic,continuous,kruskal,219.03048678827824,2.3968700081604832e-45,0.40845512745854623,8.988262530601812e-45
bp_diastolic,continuous,kruskal,114.04442825657867,5.719662557214891e-23,0.20810005392476846,9.532770928691486e-23
bp_pam,continuous,kruskal,202.05039669770358,1.0345569227807778e-41,0.3760503753772969,3.1036707683423337e-41
bp_pp,continuous,kruskal,100.2778934362767,4.618335271173938e-20,0.181828040908925,6.927502906760907e-20
