bmi_cat,t2m_pre_mean_rr,t2m_pre_mean_hr,t2m_pre_sdnn,t2m_pre_rmssd,t2m_pre_hf,t2m_pre_lf,t2m_pre_vlf
low,823.0,73.0,83.0,14.7,90.0,91.0,36.0
normal,866.0,69.0,149.0,13.7,98.0,150.0,30.0
obesity,850.0,70.0,145.0,13.350000000000001,118.0,119.5,35.0
overweight,843.0,70.0,121.5,13.8,78.0,98.0,29.0
