variable,cluster_1,cluster_2,test,statistic,p_value,effect_size,median_1,median_2,median_diff,mean_1,mean_2,n_1,n_2,p_adj_fdr
t2m_pre_mean_rr,0,1,mannwhitneyu,2024.0,3.519765333045688e-07,0.7991111111111111,962.0,736.0,226.0,924.5333333333333,726.4866666666667,15,150,7.542354285097903e-07
t2m_pre_mean_rr,0,2,mannwhitneyu,1627.0,0.09416984576149345,0.26124031007751936,962.0,871.0,91.0,924.5333333333333,885.2674418604652,15,172,0.11771230720186682
t2m_pre_mean_rr,0,3,mannwhitneyu,184.0,0.15497719590017342,0.2912280701754386,962.0,868.0,94.0,924.5333333333333,860.421052631579,15,19,0.178819841423277
t2m_pre_mean_rr,0,4,mannwhitneyu,1221.5,0.9667785325110113,-0.006910569105691057,962.0,934.0,28.0,924.5333333333333,942.030487804878,15,164,0.9667785325110113
t2m_pre_mean_rr,0,5,mannwhitneyu,150.0,3.563377376396536e-05,1.0,962.0,100.0,862.0,924.5333333333333,96.28,15,10,5.345066064594804e-05
t2m_pre_mean_rr,1,2,mannwhitneyu,1465.0,7.530989344806461e-43,-0.8864341085271318,736.0,871.0,-135.0,726.4866666666667,885.2674418604652,150,172,5.648242008604846e-42
t2m_pre_mean_rr,1,3,mannwhitneyu,439.5,9.466343007514678e-07,-0.6915789473684211,736.0,868.0,-132.0,726.4866666666667,860.421052631579,150,19,1.7749393139090022e-06
t2m_pre_mean_rr,1,4,mannwhitneyu,282.5,1.4546361581676703e-50,-0.9770325203252033,736.0,934.0,-198.0,726.4866666666667,942.030487804878,150,164,2.1819542372515054e-49
t2m_pre_mean_rr,1,5,mannwhitneyu,1500.0,1.2660135862533701e-07,1.0,736.0,100.0,636.0,726.4866666666667,96.28,150,10,3.165033965633425e-07
t2m_pre_mean_rr,2,3,mannwhitneyu,1772.5,0.546159825745661,0.08476132190942473,871.0,868.0,3.0,885.2674418604652,860.421052631579,172,19,0.5851712418703511
t2m_pre_mean_rr,2,4,mannwhitneyu,8635.0,8.033489676891763e-10,-0.38776233692569484,871.0,934.0,-63.0,885.2674418604652,942.030487804878,172,164,4.016744838445881e-09
t2m_pre_mean_rr,2,5,mannwhitneyu,1720.0,1.1133427707577974e-07,1.0,871.0,100.0,771.0,885.2674418604652,96.28,172,10,3.165033965633425e-07
t2m_pre_mean_rr,3,4,mannwhitneyu,977.0,0.007909635696211281,-0.37291399229781774,868.0,934.0,-66.0,860.421052631579,942.030487804878,19,164,0.01078586685846993
t2m_pre_mean_rr,3,5,mannwhitneyu,190.0,1.4407307172945823e-05,1.0,868.0,100.0,768.0,860.421052631579,96.28,19,10,2.4012178621576372e-05
t2m_pre_mean_rr,4,5,mannwhitneyu,1640.0,1.1618093168300514e-07,1.0,934.0,100.0,834.0,942.030487804878,96.28,164,10,3.165033965633425e-07
t2m_pre_mean_hr,0,1,mannwhitneyu,249.5,6.822195175050653e-07,-0.7782222222222223,62.0,82.0,-20.0,66.4,83.86,15,150,2.046658552515196e-06
t2m_pre_mean_hr,0,2,mannwhitneyu,984.0,0.12820116857175864,-0.2372093023255814,62.0,69.0,-7.0,66.4,68.48837209302326,15,172,0.19230175285763798
t2m_pre_mean_hr,0,3,mannwhitneyu,105.0,0.198416305484306,-0.2631578947368421,62.0,69.0,-7.0,66.4,71.47368421052632,15,19,0.27056768929678093
t2m_pre_mean_hr,0,4,mannwhitneyu,1239.5,0.9310272371163397,0.013905930470347648,62.0,64.0,-2.0,66.4,63.736196319018404,15,163,0.9310272371163397
t2m_pre_mean_hr,0,5,mannwhitneyu,92.0,0.3580159135135289,0.22666666666666666,62.0,60.0,2.0,66.4,63.6,15,10,0.41309528482330254
t2m_pre_mean_hr,1,2,mannwhitneyu,24493.5,4.805935997573503e-44,0.8987209302325582,82.0,69.0,13.0,83.86,68.48837209302326,150,172,3.604451998180128e-43
t2m_pre_mean_hr,1,3,mannwhitneyu,2436.5,4.697815037831272e-07,0.7098245614035088,82.0,69.0,13.0,83.86,71.47368421052632,150,19,1.761680639186727e-06
