variable,cluster_1,cluster_2,test,statistic,p_value,effect_size,n_total,p_adj_fdr
sex,0,1,chi2,1.4268908549953025,0.2322725235168627,0.05065479414151833,165,0.5806813087921567
sex,0,2,chi2,0.0,1.0,0.0,187,1.0
sex,0,3,chi2,0.0,1.0,0.0,34,1.0
sex,0,4,chi2,1.5997800245294942,0.2059343872463019,0.057776244114135525,179,0.5806813087921567
sex,0,5,chi2,0.0,1.0,0.0,25,1.0
sex,1,2,chi2,18.12008199028587,2.0740248948697253e-05,0.23092076863431552,322,0.0001555518671152294
sex,1,3,chi2,1.6918580649737556,0.19335621632641367,0.06389770410475648,169,0.5806813087921567
sex,1,4,chi2,0.0024253383232244684,0.9607218790963218,0.0,314,1.0
sex,1,5,chi2,0.778936910084451,0.37746646776303905,0.0,160,0.7077496270556982
sex,2,3,chi2,0.0055429094783802394,0.9406517532554323,0.0,191,1.0
sex,2,4,chi2,20.28560692002269,6.670046594577891e-06,0.23991785701252782,336,0.00010005069891866836
sex,2,5,chi2,0.0,1.0,0.0,182,1.0
sex,3,4,chi2,1.904741554539273,0.16754854708410177,0.07029272381039842,183,0.5806813087921567
sex,3,5,chi2,0.0,1.0,0.0,29,1.0
sex,4,5,chi2,0.8835330324030214,0.3472358328892461,0.0,174,0.7077496270556982
age_group,0,1,chi2,1.4828289473684217,0.6862390330608502,0.0,165,0.9347756003365648
age_group,0,2,chi2,1.6350890913513498,0.6514600325393018,0.0,187,0.9347756003365648
age_group,0,3,chi2,0.006697445367805432,0.9347756003365648,0.0,34,0.9347756003365648
age_group,0,4,chi2,2.919560202162984,0.4041944106966341,0.0,179,0.9347756003365648
age_group,0,5,chi2,1.607142857142857,0.44772708002679007,0.0,25,0.9347756003365648
age_group,1,2,chi2,0.8472546486294774,0.8381341022383328,0.0,322,0.9347756003365648
age_group,1,3,chi2,1.2405463572981525,0.7432969381514833,0.0,169,0.9347756003365648
age_group,1,4,chi2,12.239057180591843,0.006607544766879652,0.1717190543490845,314,0.09911317150319478
age_group,1,5,chi2,0.5337548074390179,0.9114154531725821,0.0,160,0.9347756003365648
age_group,2,3,chi2,1.5490429918825563,0.670998353548746,0.0,191,0.9347756003365648
age_group,2,4,chi2,9.172815240926802,0.02707930173963315,0.13564566375122974,336,0.20309476304724863
age_group,2,5,chi2,0.5073696962496749,0.9172693639456474,0.0,182,0.9347756003365648
age_group,3,4,chi2,4.273220092810328,0.2334326416534253,0.08309846264281306,183,0.9347756003365648
age_group,3,5,chi2,1.988124156545209,0.370070378869012,0.0,29,0.9347756003365648
age_group,4,5,chi2,0.5970747048742462,0.8971017251626492,0.0,174,0.9347756003365648
bmi_cat,0,1,chi2,1.3144208815990368,0.7257115770837654,0.0,165,0.8373595120197294
bmi_cat,0,2,chi2,0.6305010158299715,0.8894157233027576,0.0,187,0.8894157233027576
bmi_cat,0,3,chi2,3.671132376395534,0.2992356129541907,0.1326600324533591,34,0.6455679526382435
bmi_cat,0,4,chi2,1.7629035517668739,0.6230406141662803,0.0,179,0.8042358755834067
bmi_cat,0,5,chi2,5.059523809523809,0.16749004783014632,0.28415724804218323,25,0.502470143490439
bmi_cat,1,2,chi2,2.1618238867870736,0.5395069647248967,0.0,322,0.8042358755834067
bmi_cat,1,3,chi2,3.0279179696575325,0.3873407715829461,0.007738733468325146,169,0.6455679526382435
bmi_cat,1,4,chi2,3.1755154114178494,0.3653477201927814,0.023024673569615975,314,0.6455679526382435
bmi_cat,1,5,chi2,5.604369506200015,0.13252773426888825,0.1275212118564233,160,0.49697900350833096
bmi_cat,2,3,chi2,6.125449629056028,0.10566381058618322,0.12793391176139068,191,0.49697900350833096
bmi_cat,2,4,chi2,8.275367943397917,0.04065063244771725,0.1253825149942401,336,0.3048797433578794
bmi_cat,2,5,chi2,8.689893846779375,0.03371110047189984,0.17704593216469086,182,0.3048797433578794
bmi_cat,3,4,chi2,1.671051810800784,0.6433887004667254,0.0,183,0.8042358755834067
bmi_cat,3,5,chi2,0.8928947368421053,0.827142125496103,0.0,29,0.8862237058886818
bmi_cat,4,5,chi2,3.3647191275623323,0.3387360471131147,0.04481108026598447,174,0.6455679526382435
bp_cat,0,1,chi2,0.055743243243243125,0.813355019302237,0.0,165,1.0
bp_cat,0,2,chi2,0.0017826711232464035,0.966321971697927,0.0,187,1.0
bp_cat,0,3,chi2,0.06790097774079465,0.7944178333436499,0.0,34,1.0
bp_cat,0,4,chi2,0.0,1.0,0.0,179,1.0
bp_cat,0,5,chi2,0.0,1.0,0.0,25,1.0
bp_cat,1,2,chi2,0.13230386895832885,0.7160551669563371,0.0,322,1.0
bp_cat,1,3,chi2,0.002231579496988082,0.9623222691255532,0.0,169,1.0
bp_cat,1,4,chi2,1.285217613341511,0.2569311577228917,0.03001733279298456,314,1.0
bp_cat,1,5,chi2,0.0,1.0,0.0,160,1.0
bp_cat,2,3,chi2,0.0766056598646447,0.7819511317974158,0.0,191,1.0
bp_cat,2,4,chi2,0.4695838279408932,0.49317868946266064,0.0,336,1.0
bp_cat,2,5,chi2,0.0,1.0,0.0,182,1.0
bp_cat,3,4,chi2,0.42415708041297967,0.5148699968914139,0.0,183,1.0
bp_cat,3,5,chi2,0.0,1.0,0.0,29,1.0
bp_cat,4,5,chi2,0.0,1.0,0.0,174,1.0
