variable,type,test,statistic,p_value,effect_size,p_adj_fdr
sex,categorical,chi2,28.523984827128412,2.874490557578532e-05,0.21083422859358347,0.00011497962230314128
age_group,categorical,chi2,20.725327940229413,0.14583711158917817,0.06002863463255488,0.267607097886701
bmi_cat,categorical,chi2,19.294317503523004,0.20070532341502575,0.05194513735276378,0.267607097886701
bp_cat,categorical,chi2,2.0851865292063176,0.8372367547258865,0.0,0.8372367547258865
