variable,type,test,statistic,p_value,effect_size,p_adj_fdr
sex,categorical,chi2,58.774408482042105,8.103262383472564e-10,0.3097638194012259,8.103262383472564e-10
age_group,categorical,chi2,123.51690698521185,2.2833323226476408e-15,0.2508336622544343,3.044443096863521e-15
bmi_cat,categorical,chi2,194.20615655903447,1.3761405336139226e-28,0.3280697183244152,2.7522810672278453e-28
bp_cat,categorical,chi2,203.32425990452177,1.2732154733294463e-39,0.6076230222509887,5.092861893317785e-39
