cluster,variable,n,mean,std,median,q1,q3,min,max,iqr
0,t2m_pre_mean_rr,37,786.7567567567568,175.12065767562873,780.0,728.0,894.0,68.0,1051.0,166.0
1,t2m_pre_mean_rr,101,861.6118811881188,133.81135324562615,872.0,790.0,942.0,86.8,1187.0,152.0
2,t2m_pre_mean_rr,62,805.1935483870968,154.6105460222585,809.5,760.25,858.5,100.0,1139.0,98.25
3,t2m_pre_mean_rr,58,871.2448275862068,154.12169738344994,898.5,787.75,972.5,113.2,1079.0,184.75
4,t2m_pre_mean_rr,48,819.625,109.8268705252121,836.0,738.75,895.5,592.0,994.0,156.75
5,t2m_pre_mean_rr,71,862.4788732394367,201.51411571648765,881.0,800.5,982.5,92.0,1203.0,182.0
6,t2m_pre_mean_rr,61,834.4426229508197,130.43038048325033,833.0,747.0,945.0,520.0,1109.0,198.0
7,t2m_pre_mean_rr,41,880.629268292683,179.74032692178798,878.0,801.0,962.0,85.8,1296.0,161.0
8,t2m_pre_mean_rr,51,838.0196078431372,188.47211891376173,856.0,769.0,965.5,105.0,1097.0,196.5
0,t2m_pre_mean_hr,37,76.48648648648648,11.899163419757294,77.0,67.0,82.0,57.0,102.0,15.0
1,t2m_pre_mean_hr,101,70.11881188118812,8.856960120394438,69.0,64.0,76.0,51.0,100.0,12.0
2,t2m_pre_mean_hr,62,75.11290322580645,13.157438634973913,74.0,69.25,77.75,53.0,128.0,8.5
3,t2m_pre_mean_hr,57,69.3859649122807,11.010959452753214,67.0,61.0,76.0,53.0,98.0,15.0
4,t2m_pre_mean_hr,48,74.5625,10.566720641068496,71.5,66.75,81.0,60.0,101.0,14.25
5,t2m_pre_mean_hr,71,68.53521126760563,10.20620397589552,67.0,61.0,74.0,50.0,104.0,13.0
6,t2m_pre_mean_hr,61,72.32786885245902,14.715888591898906,72.0,63.0,79.0,10.0,115.0,16.0
7,t2m_pre_mean_hr,41,68.0,9.573400649716902,68.0,62.0,73.0,46.0,90.0,11.0
8,t2m_pre_mean_hr,51,69.98039215686275,9.948849573852108,69.0,61.5,77.0,55.0,92.0,15.5
0,t2m_pre_sdnn,36,96.41666666666667,37.493904266465194,85.0,71.75,124.5,39.0,179.0,52.75
1,t2m_pre_sdnn,100,161.458,57.47954081341648,167.5,123.75,204.75,18.8,274.0,81.0
2,t2m_pre_sdnn,62,133.96774193548387,42.03003131717219,126.0,106.0,152.75,34.0,258.0,46.75
3,t2m_pre_sdnn,58,18.855172413793102,18.093162151387986,15.1,12.475,18.1,4.8,130.0,5.625000000000002
4,t2m_pre_sdnn,48,17.527083333333334,23.859979308219284,10.149999999999999,8.7,16.2,6.4,135.0,7.5
5,t2m_pre_sdnn,69,158.1840579710145,83.06315036161698,158.0,117.0,208.0,9.4,339.0,91.0
6,t2m_pre_sdnn,60,189.86166666666668,105.96901704482462,183.5,117.75,234.5,6.8,626.0,116.75
7,t2m_pre_sdnn,38,236.21052631578948,100.73812931066767,209.5,191.0,252.25,61.0,610.0,61.25
8,t2m_pre_sdnn,48,195.91666666666666,82.56985007764014,197.0,155.75,244.25,17.0,376.0,88.5
0,t2m_pre_rmssd,37,10.13783783783784,11.182162167968714,7.3,5.4,10.4,2.9,70.0,5.0
1,t2m_pre_rmssd,101,15.004950495049505,6.956771898483143,14.0,11.4,18.6,0.5,35.9,7.200000000000001
2,t2m_pre_rmssd,62,12.635483870967741,6.123646636007535,11.7,9.375,14.875,3.5,40.0,5.5
3,t2m_pre_rmssd,58,14.35344827586207,5.085832248036934,14.25,11.0,17.7,3.3,23.8,6.699999999999999
4,t2m_pre_rmssd,48,9.229166666666666,3.354257905899721,8.8,6.3500000000000005,11.45,4.8,16.9,5.099999999999999
5,t2m_pre_rmssd,70,17.03857142857143,5.645192718424886,16.200000000000003,12.825000000000001,20.875,6.1,32.5,8.049999999999999
6,t2m_pre_rmssd,61,16.678688524590164,11.111977243108724,14.5,11.2,18.4,1.2,70.0,7.199999999999999
7,t2m_pre_rmssd,40,24.32,15.3661165706088,22.0,16.65,25.075,3.9,71.6,8.425
8,t2m_pre_rmssd,45,15.206666666666665,6.742450323408869,14.6,11.6,19.2,1.0,27.9,7.6
0,t2m_pre_hf,37,47.86486486486486,123.51859107981413,16.0,9.0,34.0,1.0,740.0,25.0
1,t2m_pre_hf,101,203.4257425742574,363.2470329275837,115.0,52.0,196.0,3.0,2470.0,144.0
2,t2m_pre_hf,62,94.56451612903226,111.70036338020671,48.0,29.0,115.0,3.0,529.0,86.0
3,t2m_pre_hf,58,208.67241379310346,311.12119756861233,63.0,17.25,311.75,3.0,1582.0,294.5
4,t2m_pre_hf,48,69.52083333333333,102.57493152819642,25.0,15.0,56.25,3.0,395.0,41.25
5,t2m_pre_hf,71,276.23943661971833,492.8285840732841,126.0,69.5,244.0,4.0,3110.0,174.5
6,t2m_pre_hf,61,395.42622950819674,792.9586886888958,136.0,57.0,480.0,9.0,5512.0,423.0
7,t2m_pre_hf,41,563.0,1194.2049656570684,194.0,97.0,330.0,32.0,5740.0,233.0
8,t2m_pre_hf,51,2301.0,2947.3598151566093,1060.0,510.0,2880.0,70.0,13160.0,2370.0
0,t2m_pre_lf,37,42.351351351351354,47.9207773403239,24.0,15.0,47.0,7.0,233.0,32.0
1,t2m_pre_lf,101,160.9009900990099,122.11523287047316,130.0,74.0,221.0,14.0,690.0,147.0
2,t2m_pre_lf,62,92.01612903225806,72.4913769740211,67.5,40.25,124.25,11.0,319.0,84.0
3,t2m_pre_lf,58,99.3103448275862,88.26201163651676,88.5,39.0,109.75,11.0,473.0,70.75
4,t2m_pre_lf,48,137.4375,221.64586535205115,49.0,27.5,162.25,7.0,1220.0,134.75
5,t2m_pre_lf,71,157.14084507042253,168.96899933543583,105.0,63.0,175.5,12.0,900.0,112.5
6,t2m_pre_lf,61,681.5081967213115,1280.3680671711918,234.0,105.0,614.0,18.0,6800.0,509.0
7,t2m_pre_lf,41,302.4146341463415,167.10490352017743,270.0,179.0,374.0,69.0,719.0,195.0
8,t2m_pre_lf,51,2726.7843137254904,2429.1912177819636,1780.0,1065.0,3490.0,490.0,10220.0,2425.0
0,t2m_pre_vlf,37,14.675675675675675,13.29380401635383,8.0,6.0,18.0,2.0,49.0,12.0
1,t2m_pre_vlf,101,49.881188118811885,52.32977873614847,35.0,17.0,62.0,2.0,270.0,45.0
2,t2m_pre_vlf,62,26.419354838709676,28.347115611846114,19.0,10.25,27.0,2.0,131.0,16.75
3,t2m_pre_vlf,58,110.63793103448276,262.5769526821705,20.5,8.25,52.0,1.0,1582.0,43.75
4,t2m_pre_vlf,48,41.666666666666664,68.65650961166563,17.5,8.0,47.5,3.0,379.0,39.5
5,t2m_pre_vlf,71,38.521126760563384,35.55031008702599,28.0,14.5,50.0,3.0,195.0,35.5
6,t2m_pre_vlf,61,154.88524590163934,317.3916664711838,61.0,25.0,151.0,4.0,2230.0,126.0
7,t2m_pre_vlf,41,62.146341463414636,42.93516098468116,51.0,29.0,90.0,7.0,208.0,61.0
8,t2m_pre_vlf,51,602.7843137254902,491.8603181280429,430.0,255.0,845.0,40.0,2340.0,590.0
0,age,37,76.48648648648648,6.216562204759608,76.0,71.0,82.0,67.0,89.0,11.0
1,age,101,69.72277227722772,4.988223755769558,69.0,66.0,73.0,55.0,79.0,7.0
2,age,62,70.40322580645162,5.445586805211501,70.5,67.0,73.0,57.0,87.0,6.0
3,age,58,68.01724137931035,6.337001834977114,69.0,65.0,72.0,50.0,79.0,7.0
4,age,48,73.89583333333333,7.537818363011865,73.5,70.0,78.5,61.0,89.0,8.5
5,age,71,72.94366197183099,5.613471866714072,73.0,69.5,76.0,61.0,88.0,6.5
6,age,61,68.0327868852459,4.966444781782211,67.0,65.0,72.0,60.0,81.0,7.0
7,age,41,70.46341463414635,6.107771938176843,68.0,66.0,76.0,61.0,86.0,10.0
8,age,51,70.7843137254902,5.984358697438503,71.0,66.5,75.0,57.0,88.0,8.5
0,weight_kg,37,73.61891891891892,13.506003558867151,72.0,63.0,82.0,51.0,111.0,19.0
1,weight_kg,101,85.63465346534653,13.862470455467626,85.0,76.7,92.0,57.0,120.0,15.299999999999997
2,weight_kg,62,68.34193548387097,7.914389227743885,68.0,62.25,73.8,49.0,92.0,11.549999999999997
3,weight_kg,58,72.7,10.97139822207582,72.65,65.425,81.07499999999999,49.0,98.0,15.649999999999991
4,weight_kg,48,70.76875,10.628227294593012,68.80000000000001,65.05,76.525,48.7,94.0,11.475000000000009
5,weight_kg,71,71.19154929577465,8.739822595108196,70.0,66.0,76.0,48.0,95.2,10.0
6,weight_kg,61,88.46393442622951,14.948746132333705,87.0,79.2,97.6,60.0,120.0,18.39999999999999
7,weight_kg,41,60.11219512195122,6.784585290272029,61.0,56.0,65.0,47.0,70.0,9.0
8,weight_kg,51,71.20980392156862,9.373094577607992,71.3,62.650000000000006,77.6,55.4,93.7,14.949999999999989
0,height_m_final,37,1.5991891891891892,0.09908970061902872,1.6,1.52,1.68,1.4,1.8,0.15999999999999992
1,height_m_final,101,1.542178217821782,0.08141994792919048,1.52,1.5,1.6,1.3,1.7,0.10000000000000009
2,height_m_final,62,1.5525806451612905,0.08775777923335568,1.55,1.5,1.6,1.3,1.8,0.10000000000000009
3,height_m_final,58,1.5856896551724138,0.10167219546023179,1.57,1.5025,1.66,1.38,1.8,0.15749999999999997
4,height_m_final,48,1.5527083333333334,0.07832663695536524,1.565,1.49,1.6,1.4,1.71,0.1100000000000001
5,height_m_final,71,1.5538028169014086,0.06466101049060395,1.55,1.5,1.6,1.45,1.7,0.10000000000000009
6,height_m_final,61,1.6249180327868853,0.08770448393743759,1.62,1.57,1.7,1.4,1.8,0.1299999999999999
7,height_m_final,41,1.5509756097560976,0.07279439806910909,1.56,1.5,1.6,1.4,1.7,0.10000000000000009
8,height_m_final,51,1.5423529411764705,0.09403378616846433,1.5,1.5,1.6,1.3,1.7,0.10000000000000009
0,imc_final,37,28.6036105872855,3.0617707076511573,28.515625,26.77593411497424,30.47052154195012,19.921875,36.66270313119303,3.694587426975879
1,imc_final,101,36.09907189461477,5.723407045855457,35.796045785639954,32.39390994493036,40.0,22.265625,57.07491082045184,7.606090055069643
2,imc_final,62,28.44067745903172,3.3405469420977085,27.750291762113008,26.228400598602022,30.62155980982085,22.37034331628926,38.46153846153846,4.39315921121883
3,imc_final,58,29.065159076238903,4.712528136445748,28.402913874123378,25.57062081129652,32.60430839002268,21.289795918367343,40.79084287200832,7.033687578726159
4,imc_final,48,29.340588018295417,3.6108884127962937,29.120384997253936,27.054701399993245,31.69629883375551,19.0234375,37.02333990795529,4.641597433762264
5,imc_final,71,29.565439506013956,3.9720727269762324,29.33333333333333,26.64211180795848,31.375868055555557,22.826880934989045,42.31111111111111,4.7337562475970785
6,imc_final,61,33.613225452916346,5.82643467690497,32.91201288470292,29.069767441860467,37.333333333333336,23.984375,46.87499999999999,8.263565891472869
7,imc_final,41,25.088832901439662,3.214643669812568,25.2993759487266,23.828125,26.37789809801472,18.359375,31.50109569028488,2.5497730980147217
8,imc_final,51,30.086066724050784,4.3525308278532835,29.53125,26.90311418685122,31.92135416666666,22.34375,42.193877551020414,5.018239979815441
0,bp_systolic,37,131.40540540540542,11.44421119911591,130.0,123.0,137.0,109.0,170.0,14.0
1,bp_systolic,101,124.12871287128714,9.688821771852998,124.0,118.0,130.0,105.0,156.0,12.0
2,bp_systolic,62,112.98387096774194,11.32455903022186,115.0,107.0,120.75,80.0,135.0,13.75
3,bp_systolic,58,130.01724137931035,10.214354157409787,130.5,122.0,136.75,111.0,157.0,14.75
4,bp_systolic,48,119.91666666666667,17.86335049144314,120.0,104.0,134.25,90.0,154.0,30.25
5,bp_systolic,71,152.19718309859155,14.613711485460543,151.0,140.0,161.5,133.0,203.0,21.5
6,bp_systolic,61,146.60655737704917,12.912885926500692,147.0,138.0,157.0,121.0,172.0,19.0
7,bp_systolic,41,124.97560975609755,9.910821875298861,124.0,119.0,132.0,98.0,143.0,13.0
8,bp_systolic,51,126.70588235294117,11.965440430919468,126.0,118.5,134.0,99.0,164.0,15.5
0,bp_diastolic,37,75.1891891891892,9.573800585851874,75.0,67.0,81.0,54.0,93.0,14.0
1,bp_diastolic,101,76.26732673267327,8.29806132673037,76.0,71.0,83.0,52.0,94.0,12.0
2,bp_diastolic,62,69.62903225806451,5.540414469220292,70.0,67.25,73.0,55.0,83.0,5.75
3,bp_diastolic,58,80.74137931034483,7.787890611031268,80.5,74.25,87.0,60.0,93.0,12.75
4,bp_diastolic,48,71.27083333333333,8.660842628489505,72.0,66.0,77.5,53.0,89.0,11.5
5,bp_diastolic,71,81.28169014084507,8.554335740416002,81.0,77.0,86.0,61.0,105.0,9.0
6,bp_diastolic,61,89.95081967213115,8.885242877018417,90.0,83.0,96.0,72.0,115.0,13.0
7,bp_diastolic,41,74.92682926829268,10.211244399930989,74.0,70.0,81.0,55.0,98.0,11.0
8,bp_diastolic,51,75.03921568627452,8.543911947846196,76.0,70.0,79.5,53.0,93.0,9.5
0,bp_pam,37,93.92792792792793,7.564184262048149,92.66666666666669,88.66666666666667,100.33333333333331,81.66666666666667,112.66666666666669,11.666666666666643
1,bp_pam,101,92.22112211221123,7.3714580538305965,92.66666666666669,88.33333333333333,96.66666666666669,72.33333333333333,109.0,8.333333333333357
2,bp_pam,62,84.08064516129032,6.125489604273423,85.16666666666666,80.75,88.33333333333333,68.66666666666667,95.33333333333331,7.583333333333329
3,bp_pam,58,97.16666666666667,6.867799259345504,97.83333333333334,90.5,102.33333333333331,85.0,110.33333333333331,11.833333333333314
4,bp_pam,48,87.4861111111111,10.677290439379812,88.33333333333334,78.41666666666667,94.91666666666667,66.0,110.66666666666669,16.5
5,bp_pam,71,104.92018779342723,9.41587055863281,102.66666666666669,99.16666666666666,109.66666666666666,91.33333333333331,135.66666666666666,10.5
