variable,cluster,sex,n,cluster_total,fraction,age_group,bmi_cat,bp_cat
sex,0,1.0,23,37,0.6216216216216216,,,
sex,0,2.0,14,37,0.3783783783783784,,,
sex,1,1.0,77,101,0.7623762376237624,,,
sex,1,2.0,24,101,0.2376237623762376,,,
sex,2,1.0,53,62,0.8548387096774194,,,
sex,2,2.0,9,62,0.14516129032258066,,,
sex,3,1.0,20,58,0.3448275862068966,,,
sex,3,2.0,38,58,0.6551724137931034,,,
sex,4,1.0,24,48,0.5,,,
sex,4,2.0,24,48,0.5,,,
sex,5,1.0,54,71,0.7605633802816901,,,
sex,5,2.0,17,71,0.23943661971830985,,,
sex,6,1.0,43,61,0.7049180327868853,,,
sex,6,2.0,18,61,0.29508196721311475,,,
sex,7,1.0,35,41,0.8536585365853658,,,
sex,7,2.0,6,41,0.14634146341463414,,,
sex,8,1.0,37,51,0.7254901960784313,,,
sex,8,2.0,14,51,0.27450980392156865,,,
age_group,0,,4,37,0.10810810810810811,60-69,,
age_group,0,,21,37,0.5675675675675675,70-79,,
age_group,0,,12,37,0.32432432432432434,80+,,
age_group,1,,55,101,0.5445544554455446,60-69,,
age_group,1,,44,101,0.43564356435643564,70-79,,
age_group,1,,2,101,0.019801980198019802,<60,,
age_group,2,,24,62,0.3870967741935484,60-69,,
age_group,2,,32,62,0.5161290322580645,70-79,,
age_group,2,,4,62,0.06451612903225806,80+,,
age_group,2,,2,62,0.03225806451612903,<60,,
age_group,3,,26,58,0.4482758620689655,60-69,,
age_group,3,,27,58,0.46551724137931033,70-79,,
age_group,3,,5,58,0.08620689655172414,<60,,
age_group,4,,11,48,0.22916666666666666,60-69,,
age_group,4,,25,48,0.5208333333333334,70-79,,
age_group,4,,12,48,0.25,80+,,
age_group,5,,18,71,0.2535211267605634,60-69,,
age_group,5,,47,71,0.6619718309859155,70-79,,
age_group,5,,6,71,0.08450704225352113,80+,,
age_group,6,,39,61,0.639344262295082,60-69,,
age_group,6,,21,61,0.3442622950819672,70-79,,
age_group,6,,1,61,0.01639344262295082,80+,,
age_group,7,,21,41,0.5121951219512195,60-69,,
age_group,7,,17,41,0.4146341463414634,70-79,,
age_group,7,,3,41,0.07317073170731707,80+,,
age_group,8,,21,51,0.4117647058823529,60-69,,
age_group,8,,27,51,0.5294117647058824,70-79,,
age_group,8,,2,51,0.0392156862745098,80+,,
age_group,8,,1,51,0.0196078431372549,<60,,
bmi_cat,0,,1,37,0.02702702702702703,,low,
bmi_cat,0,,14,37,0.3783783783783784,,normal,
bmi_cat,0,,5,37,0.13513513513513514,,obesity,
bmi_cat,0,,17,37,0.4594594594594595,,overweight,
bmi_cat,1,,1,101,0.009900990099009901,,low,
bmi_cat,1,,4,101,0.039603960396039604,,normal,
bmi_cat,1,,76,101,0.7524752475247525,,obesity,
bmi_cat,1,,20,101,0.19801980198019803,,overweight,
bmi_cat,2,,1,62,0.016129032258064516,,low,
bmi_cat,2,,33,62,0.532258064516129,,normal,
bmi_cat,2,,12,62,0.1935483870967742,,obesity,
bmi_cat,2,,16,62,0.25806451612903225,,overweight,
bmi_cat,3,,6,58,0.10344827586206896,,low,
bmi_cat,3,,18,58,0.3103448275862069,,normal,
bmi_cat,3,,15,58,0.25862068965517243,,obesity,
bmi_cat,3,,19,58,0.3275862068965517,,overweight,
bmi_cat,4,,3,48,0.0625,,low,
bmi_cat,4,,13,48,0.2708333333333333,,normal,
bmi_cat,4,,12,48,0.25,,obesity,
bmi_cat,4,,20,48,0.4166666666666667,,overweight,
bmi_cat,5,,2,71,0.028169014084507043,,low,
bmi_cat,5,,26,71,0.36619718309859156,,normal,
bmi_cat,5,,16,71,0.22535211267605634,,obesity,
bmi_cat,5,,27,71,0.38028169014084506,,overweight,
bmi_cat,6,,10,61,0.16393442622950818,,normal,
bmi_cat,6,,35,61,0.5737704918032787,,obesity,
bmi_cat,6,,16,61,0.26229508196721313,,overweight,
bmi_cat,7,,8,41,0.1951219512195122,,low,
bmi_cat,7,,27,41,0.6585365853658537,,normal,
bmi_cat,7,,6,41,0.14634146341463414,,overweight,
bmi_cat,8,,1,51,0.0196078431372549,,low,
bmi_cat,8,,16,51,0.3137254901960784,,normal,
bmi_cat,8,,13,51,0.2549019607843137,,obesity,
bmi_cat,8,,21,51,0.4117647058823529,,overweight,
bp_cat,0,,9,37,0.24324324324324326,,,high
bp_cat,0,,28,37,0.7567567567567568,,,normal
bp_cat,1,,10,101,0.09900990099009901,,,high
bp_cat,1,,91,101,0.900990099009901,,,normal
bp_cat,2,,62,62,1.0,,,normal
bp_cat,3,,16,58,0.27586206896551724,,,high
bp_cat,3,,42,58,0.7241379310344828,,,normal
bp_cat,4,,9,48,0.1875,,,high
bp_cat,4,,39,48,0.8125,,,normal
bp_cat,5,,54,71,0.7605633802816901,,,high
bp_cat,5,,17,71,0.23943661971830985,,,normal
bp_cat,6,,49,61,0.8032786885245902,,,high
bp_cat,6,,12,61,0.19672131147540983,,,normal
bp_cat,7,,5,41,0.12195121951219512,,,high
bp_cat,7,,36,41,0.8780487804878049,,,normal
bp_cat,8,,9,51,0.17647058823529413,,,high
bp_cat,8,,42,51,0.8235294117647058,,,normal
