variable,cluster_1,cluster_2,test,statistic,p_value,effect_size,median_1,median_2,median_diff,mean_1,mean_2,n_1,n_2,p_adj_fdr
t2m_pre_mean_rr,0,1,mannwhitneyu,2129.0,2.449031607684952e-07,0.808067940552017,962.0,734.0,228.0,924.5333333333333,698.3375796178344,15,157,6.12257901921238e-07
t2m_pre_mean_rr,0,2,mannwhitneyu,1654.0,0.07059070976898298,0.28217054263565894,962.0,865.0,97.0,924.5333333333333,869.917441860465,15,172,0.10084387109854712
t2m_pre_mean_rr,0,3,mannwhitneyu,184.0,0.15497719590017342,0.2912280701754386,962.0,868.0,94.0,924.5333333333333,860.421052631579,15,19,0.19372149487521675
t2m_pre_mean_rr,0,4,mannwhitneyu,1239.5,0.9490033251160137,-0.010379241516966068,962.0,935.0,27.0,924.5333333333333,942.6946107784431,15,167,0.9490033251160137
t2m_pre_mean_rr,1,2,mannwhitneyu,1922.5,3.67318097283279e-41,-0.8576136868612058,734.0,865.0,-131.0,698.3375796178344,869.917441860465,157,172,1.836590486416395e-40
t2m_pre_mean_rr,1,3,mannwhitneyu,439.5,5.35358792494361e-07,-0.705330204492122,734.0,868.0,-134.0,698.3375796178344,860.421052631579,157,19,1.070717584988722e-06
t2m_pre_mean_rr,1,4,mannwhitneyu,284.5,2.639861294673713e-52,-0.9782981807086464,734.0,935.0,-201.0,698.3375796178344,942.6946107784431,157,167,2.6398612946737128e-51
t2m_pre_mean_rr,2,3,mannwhitneyu,1727.5,0.6842115533578259,0.05722154222766218,865.0,868.0,-3.0,869.917441860465,860.421052631579,172,19,0.7602350592864732
t2m_pre_mean_rr,2,4,mannwhitneyu,8427.5,4.770990969846521e-11,-0.4132084667873555,865.0,935.0,-70.0,869.917441860465,942.6946107784431,172,167,1.5903303232821737e-10
t2m_pre_mean_rr,3,4,mannwhitneyu,989.0,0.0072541954059402,-0.376615190671289,868.0,935.0,-67.0,860.421052631579,942.6946107784431,19,167,0.012090325676567
t2m_pre_mean_hr,0,1,mannwhitneyu,309.5,2.432477479164777e-06,-0.7371549893842887,62.0,81.0,-19.0,66.4,83.0,15,157,5.104524380309513e-06
t2m_pre_mean_hr,0,2,mannwhitneyu,989.5,0.13520439417459842,-0.2329457364341085,62.0,69.0,-7.0,66.4,68.48255813953489,15,172,0.19314913453514063
t2m_pre_mean_hr,0,3,mannwhitneyu,105.0,0.198416305484306,-0.2631578947368421,62.0,69.0,-7.0,66.4,71.47368421052632,15,19,0.2480203818553825
t2m_pre_mean_hr,0,4,mannwhitneyu,1266.0,0.9158425591481598,0.016867469879518072,62.0,64.0,-2.0,66.4,63.69879518072289,15,166,0.9158425591481598
t2m_pre_mean_hr,1,2,mannwhitneyu,24857.0,1.090612145782744e-39,0.8409865205154792,81.0,69.0,12.0,83.0,68.48255813953489,157,172,5.4530607289137203e-39
