variable,type,test,statistic,p_value,effect_size,p_adj_fdr
t2m_pre_mean_rr,continuous,kruskal,297.7303607033379,3.3448324386150894e-63,0.5594864013396913,2.508624328961317e-62
t2m_pre_mean_hr,continuous,kruskal,280.09860564026644,2.1219323537854445e-59,0.5269057359547069,1.0609661768927222e-58
t2m_pre_sdnn,continuous,kruskal,301.72439879553065,4.600753436358706e-64,0.579230347851227,6.901130154538059e-63
t2m_pre_rmssd,continuous,kruskal,269.37194545455986,4.35672559611322e-57,0.5132919641287425,1.6337720985424575e-56
t2m_pre_hf,continuous,kruskal,180.4548532220727,5.95459091855895e-38,0.3361044823277575,1.7863772755676851e-37
t2m_pre_lf,continuous,kruskal,167.52078210838292,3.5605518527007023e-35,0.3114681563969198,8.901379631751756e-35
t2m_pre_vlf,continuous,kruskal,127.62844605264264,1.2517148134471198e-26,0.23548275438598598,2.682246028815257e-26
age,continuous,kruskal,6.02298272103404,0.19743847187528693,0.00385330042101722,0.24679808984410864
weight_kg,continuous,kruskal,8.109694229403033,0.08764160007533485,0.00782798900838673,0.14606933345889142
height_m_final,continuous,kruskal,5.771205219360356,0.21689877129684848,0.0033737242273530585,0.25026781303482515
imc_final,continuous,kruskal,2.4752572827918775,0.6490717728270737,0.0,0.6490717728270737
bp_systolic,continuous,kruskal,4.148559483015772,0.386273698199853,0.0002829704438395656,0.41386467664269966
bp_diastolic,continuous,kruskal,11.593081220501444,0.020648205557264005,0.01446301184857418,0.03871538541987001
bp_pam,continuous,kruskal,7.625475008669588,0.106301970740084,0.006905666683180168,0.15945295611012603
bp_pp,continuous,kruskal,6.718905360305442,0.1515096192352038,0.005178867352962746,0.2066040262298234
