variable,cluster,sex,n,cluster_total,fraction,age_group,bmi_cat,bp_cat
sex,0,1.0,12,15,0.8,,,
sex,0,2.0,3,15,0.2,,,
sex,1,1.0,96,157,0.6114649681528662,,,
sex,1,2.0,61,157,0.3885350318471338,,,
sex,2,1.0,144,172,0.8372093023255814,,,
sex,2,2.0,28,172,0.16279069767441862,,,
sex,3,1.0,15,19,0.7894736842105263,,,
sex,3,2.0,4,19,0.21052631578947367,,,
sex,4,1.0,99,167,0.592814371257485,,,
sex,4,2.0,68,167,0.40718562874251496,,,
age_group,0,,6,15,0.4,60-69,,
age_group,0,,9,15,0.6,70-79,,
age_group,1,,73,157,0.46496815286624205,60-69,,
age_group,1,,75,157,0.47770700636942676,70-79,,
age_group,1,,8,157,0.050955414012738856,80+,,
age_group,1,,1,157,0.006369426751592357,<60,,
age_group,2,,77,172,0.4476744186046512,60-69,,
age_group,2,,81,172,0.47093023255813954,70-79,,
age_group,2,,11,172,0.06395348837209303,80+,,
age_group,2,,3,172,0.01744186046511628,<60,,
age_group,3,,9,19,0.47368421052631576,60-69,,
age_group,3,,10,19,0.5263157894736842,70-79,,
age_group,4,,54,167,0.32335329341317365,60-69,,
age_group,4,,86,167,0.5149700598802395,70-79,,
age_group,4,,21,167,0.12574850299401197,80+,,
age_group,4,,6,167,0.03592814371257485,<60,,
bmi_cat,0,,1,15,0.06666666666666667,,low,
bmi_cat,0,,6,15,0.4,,normal,
bmi_cat,0,,5,15,0.3333333333333333,,obesity,
bmi_cat,0,,3,15,0.2,,overweight,
bmi_cat,1,,7,157,0.044585987261146494,,low,
bmi_cat,1,,44,157,0.2802547770700637,,normal,
bmi_cat,1,,58,157,0.36942675159235666,,obesity,
bmi_cat,1,,48,157,0.3057324840764331,,overweight,
bmi_cat,2,,6,172,0.03488372093023256,,low,
bmi_cat,2,,58,172,0.3372093023255814,,normal,
bmi_cat,2,,66,172,0.38372093023255816,,obesity,
bmi_cat,2,,42,172,0.2441860465116279,,overweight,
bmi_cat,3,,1,19,0.05263157894736842,,low,
bmi_cat,3,,3,19,0.15789473684210525,,normal,
bmi_cat,3,,6,19,0.3157894736842105,,obesity,
bmi_cat,3,,9,19,0.47368421052631576,,overweight,
bmi_cat,4,,8,167,0.04790419161676647,,low,
bmi_cat,4,,50,167,0.2994011976047904,,normal,
bmi_cat,4,,49,167,0.2934131736526946,,obesity,
bmi_cat,4,,60,167,0.3592814371257485,,overweight,
bp_cat,0,,4,15,0.26666666666666666,,,high
bp_cat,0,,11,15,0.7333333333333333,,,normal
bp_cat,1,,52,157,0.33121019108280253,,,high
bp_cat,1,,105,157,0.6687898089171974,,,normal
bp_cat,2,,54,172,0.313953488372093,,,high
bp_cat,2,,118,172,0.686046511627907,,,normal
bp_cat,3,,7,19,0.3684210526315789,,,high
bp_cat,3,,12,19,0.631578947368421,,,normal
bp_cat,4,,44,167,0.2634730538922156,,,high
bp_cat,4,,123,167,0.7365269461077845,,,normal
