cluster,t2m_pre_mean_rr,t2m_pre_mean_hr,t2m_pre_sdnn,t2m_pre_rmssd,t2m_pre_hf,t2m_pre_lf,t2m_pre_vlf,age,weight_kg,height_m_final,imc_final,bp_systolic,bp_diastolic,bp_pam,bp_pp
0,962.0,62.0,233.0,18.2,5512.0,1660.0,430.0,71.0,65.0,1.5,28.265306122448983,123.0,76.0,91.66666666666669,47.0
1,734.0,81.0,89.5,8.3,40.0,64.0,18.0,70.0,75.0,1.57,30.08639971931056,130.0,78.0,95.0,50.0
2,865.0,69.0,205.5,19.0,192.0,198.5,45.5,71.0,71.7,1.55,30.308693088509763,129.0,78.0,94.5,51.0
3,868.0,69.0,255.5,16.4,1060.0,4510.0,1110.0,71.0,73.4,1.6,29.4140625,128.0,81.0,97.0,51.0
4,935.0,64.0,86.0,12.5,62.0,84.0,25.0,71.0,72.0,1.57,29.232917436151528,127.0,75.0,92.66666666666669,53.0
